#x      #y      #z      #c      #comment Prime
23      01      23      2       #P
23      07      11      2       #P
23      11      13      2       #P
23      13      29      2       #P
23      17      01      2       #P
23      19      17      2       #P
23      23      19      2       #P
23      29      07      2       #P
#x      #y      #z      #c      #comment Prime
23      31      53      2       #P
23      37      41      2       #P
23      41      43      2       #P
23      43      59      2       #P
23      47      31      2       #P
23      53      49      2       #P
23      59      37      2       #P
#x      #y      #z      #c      #comment Prime
23      61      83      2       #P
23      67      71      2       #P
23      71      73      2       #P
23      79      77      2       #P
23      83      79      2       #P
23      89      67      2       #P
