#x      #y      #z      #c      #comment Prime
17      01      17      4       #P
17      07      29      4       #P
17      11      07      4       #P
17      13      11      4       #P
17      17      19      4       #P
17      19      23      4       #P
17      23      01      4       #P
17      29      13      4       #P
#x      #y      #z      #c      #comment Prime
17      31      47      4       #P
17      37      59      4       #P
17      41      37      4       #P
17      43      41      4       #P
17      47      49      4       #P
17      53      31      4       #P
17      59      43      4       #P
#x      #y      #z      #c      #comment Prime
17      61      77      4       #P
17      67      89      4       #P
17      71      67      4       #P
17      79      83      4       #P
17      83      61      4       #P
17      89      73      4       #P

