#x      #y      #z      #c      #comment Prime
11      1       11      11      #P
11      7       17      11      #P
11      11      1       11      #P
11      13      23      11      #P
11      17      7       11      #P
11      19      29      11      #P
11      23      13      11      #P
11      29      19      11      #P
#x      #y      #z      #c      #comment Prime
11      31      41      11      #P
11      37      47      11      #P
11      41      31      11      #P
11      43      53      11      #P
11      47      37      11      #P
11      53      43      11      #P
11      59      49      11      #P
#x      #y      #z      #c      #comment Prime
11      61      71      11      #P
11      67      77      11      #P
11      71      61      11      #P
11      79      89      11      #P
11      83      73      11      #P
11      89      79      11      #P
#x      #y      #z      #c      #comment Prime
19      1       19      19      #P
19      7       13      19      #P
19      11      29      19      #P
19      13      7       19      #P
19      17      23      19      #P
19      19      1       19      #P
19      23      17      19      #P
19      29      11      19      #P
#x      #y      #z      #c      #comment Prime
19      31      49      19      #P
19      37      43      19      #P
19      41      59      19      #P
19      43      37      19      #P
19      47      53      19      #P
19      53      47      19      #P
19      59      41      19      #P
#x      #y      #z      #c      #comment Prime
19      61      79      19      #P
19      67      73      19      #P
19      71      89      19      #P
19      79      61      19      #P
19      83      77      19      #P
19      89      71      19      #P
