#x      #y      #z      #c      #comment Prime
19      01      19      3       #P
19      07      13      3       #P
19      11      29      3       #P
19      13      07      3       #P
19      17      23      3       #P
19      19      01      3       #P
19      23      17      3       #P
19      29      11      3       #P
#x      #y      #z      #c      #comment Prime
19      31      49      3       #P
19      37      43      3       #P
19      41      59      3       #P
19      43      37      3       #P
19      47      53      3       #P
19      53      47      3       #P
19      59      41      3       #P
#x      #y      #z      #c      #comment Prime
19      61      79      3       #P
19      67      73      3       #P
19      71      89      3       #P
19      79      61      3       #P
19      83      77      3       #P
19      89      71      3       #P
