#p01    #fam01  #n01    #color01
5117    11      170     2
5141    11      171     3
5171    11      172     4
5201    11      173     5
5213    11      173     6
5231    11      174     7
5261    11      175     8
5287    11      176     1
5291    11      176     2
5321    11      177     3
5327    11      177     4
5339    11      177     5
5351    11      178     6
5381    11      179     7
5401    11      180     8
5411    11      180     1
5441    11      181     2
5471    11      182     3
5501    11      183     4
5531    11      184     5
5537    11      184     6
5539    11      184     7
5561    11      185     8
5591    11      186     1
5603    11      186     2
5621    11      187     3
5651    11      188     4
5681    11      189     5
5711    11      190     6
5731    11      191     7
5741    11      191     8
5747    11      191     1
5771    11      192     2
5773    11      192     3
5797    11      193     4
5801    11      193     5
5831    11      194     6
5861    11      195     7
5891    11      196     8
5909    11      196     1
5921    11      197     2
5951    11      198     3
5957    11      198     4
5981    11      199     5
5993    11      199     6
6011    11      200     7
6041    11      201     8
6061    11      202     1
6071    11      202     2
6101    11      203     3
6131    11      204     4
6161    11      205     5
6167    11      205     6
6191    11      206     7
6221    11      207     8
6251    11      208     1
6281    11      209     2
6307    11      210     3
6311    11      210     4
6341    11      211     5
6371    11      212     6
6377    11      212     7
6383    11      212     8
6391    11      213     1
6401    11      213     2
6409    11      213     3
6431    11      214     4
6461    11      215     5
6463    11      215     6
6479    11      215     7
6491    11      216     8
6521    11      217     1
6551    11      218     2
6581    11      219     3
6587    11      219     4
6611    11      220     5
6641    11      221     6
6671    11      222     7
6701    11      223     8
6721    11      224     1
6731    11      224     2
6761    11      225     3
6773    11      225     4
6791    11      226     5
6797    11      226     6
6817    11      227     7
6821    11      227     8
6851    11      228     1
6881    11      229     2
6911    11      230     3
6941    11      231     4
6971    11      232     5
7001    11      233     6
7007    11      233     7
7031    11      234     8
7049    11      234     1
7051    11      235     2
7061    11      235     3
7091    11      236     4
7121    11      237     5
7151    11      238     6
7153    11      238     7
7163    11      238     8
7181    11      239     1
7211    11      240     2
7217    11      240     3
7241    11      241     4
7271    11      242     5
7279    11      242     6
7301    11      243     7
7327    11      244     8
7331    11      244     1
7361    11      245     2
7381    11      246     3
7391    11      246     4
7421    11      247     5
7427    11      247     6
7451    11      248     7
7481    11      249     8
7511    11      250     1
7541    11      251     2
7553    11      251     3
7571    11      252     4
7601    11      253     5
7619    11      253     6
7631    11      254     7
7637    11      254     8
7661    11      255     1
7691    11      256     2
7711    11      257     3
7721    11      257     4
7751    11      258     5
7781    11      259     6
7811    11      260     7
7837    11      261     8
7841    11      261     1
7843    11      261     2
7847    11      261     3
7871    11      262     4
7901    11      263     5
7931    11      264     6
7943    11      264     7
7961    11      265     8
7991    11      266     1
8021    11      267     2
8041    11      268     3
8051    11      268     4
8057    11      268     5
8081    11      269     6
8111    11      270     7
8141    11      271     8
8149    11      271     1
8171    11      272     2
8189    11      272     3
8201    11      273     4
8231    11      274     5
8261    11      275     6
8267    11      275     7
8291    11      276     8
8321    11      277     1
8333    11      277     2
8347    11      278     3
8351    11      278     4
8371    11      279     5
8381    11      279     6
8411    11      280     7
8441    11      281     8
8471    11      282     1
8477    11      282     2
8501    11      283     3
8531    11      284     4
8533    11      284     5
8561    11      285     6
8591    11      286     7
8621    11      287     8
8651    11      288     1
8681    11      289     2
8687    11      289     3
8701    11      290     4
8711    11      290     5
8723    11      290     6
8741    11      291     7
8759    11      291     8
8771    11      292     1
8801    11      293     2
8831    11      294     3
8857    11      295     4
8861    11      295     5
8891    11      296     6
8897    11      296     7
8921    11      297     8
8951    11      298     1
8981    11      299     2
9011    11      300     3
9019    11      300     4
9031    11      301     5
9041    11      301     6
9071    11      302     7
9101    11      303     8
9107    11      303     1
9113    11      303     2
9131    11      304     3
9161    11      305     4
9191    11      306     5
9221    11      307     6
9223    11      307     7
9251    11      308     8
9317    11      310     1
9329    11      310     2
9361    11      312     3
9367    11      312     4
9503    11      316     5
9527    11      317     6
9691    11      323     7
9737    11      324     8
9877    11      329     1
9889    11      329     2
9893    11      329     3
9899    11      329     4
9913    11      330     5
9947    11      331     6
10021   11      334     7
10157   11      338     8
10283   11      342     1
10351   11      345     2
10367   11      345     3
10387   11      346     4
10469   11      348     5
10577   11      352     6
10603   11      353     7
10673   11      355     8
10681   11      356     1
10759   11      358     2
10787   11      359     3
10897   11      363     4
10997   11      366     5
11011   11      367     6
11039   11      367     7
11063   11      368     8
11207   11      373     1
11293   11      376     2
11341   11      378     3
11407   11      380     4
11417   11      380     5
11453   11      381     6
11609   11      386     7
11627   11      387     8
11629   11      387     1
11671   11      389     2
11837   11      394     3
11843   11      394     4
11917   11      397     5
11983   11      399     6
12001   11      400     7
12047   11      401     8
12179   11      405     1
12233   11      407     2
12257   11      408     3
12331   11      411     4
12427   11      414     5
12467   11      415     6
12499   11      416     7
12623   11      420     8
12661   11      422     1
12673   11      422     2
12677   11      422     3
12749   11      424     4
12887   11      429     5
12937   11      431     6
12991   11      433     7
13013   11      433     8
13097   11      436     1
13307   11      443     2
13319   11      443     3
13321   11      444     4
13363   11      445     5
13369   11      445     6
13403   11      446     7
13447   11      448     8
13517   11      450     1
13651   11      455     2
13727   11      457     3
13793   11      459     4
13889   11      462     5
13937   11      464     6
13957   11      465     7
13981   11      466     8
14053   11      468     1
14147   11      471     2
14183   11      472     3
14239   11      474     4
14311   11      477     5
14357   11      478     6
14459   11      481     7
14467   11      482     8
14567   11      485     1
14573   11      485     2
14641   11      488     3
14743   11      491     4
14777   11      492     5
14963   11      498     6
14971   11      499     7
14977   11      499     8
14987   11      499     1
15029   11      500     2
15109   11      503     3
15197   11      506     4
15301   11      510     5
15353   11      511     6
15407   11      513     7
15433   11      514     8
15487   11      516     1
15599   11      519     2
15617   11      520     3
15631   11      521     4
15743   11      524     5
15827   11      527     6
15961   11      532     7
15979   11      532     8
15997   11      533     1
16037   11      534     2
16123   11      537     3
16133   11      537     4
16169   11      538     5
16247   11      541     6
16291   11      543     7
16457   11      548     8
16507   11      550     1
16523   11      550     2
16621   11      554     3
16667   11      555     4
16739   11      557     5
16813   11      560     6
16849   11      561     7
16877   11      562     8
16913   11      563     1
16951   11      565     2
17017   11      567     3
17087   11      569     4
17281   11      576     5
17297   11      576     6
17303   11      576     7
17309   11      576     8
17503   11      583     1
17507   11      583     2
17527   11      584     3
17611   11      587     4
17693   11      589     5
17717   11      590     6
17719   11      590     7
17879   11      595     8
17927   11      597     1
17941   11      598     2
18037   11      601     3
18083   11      602     4
18137   11      604     5
18193   11      606     6
18271   11      609     7
18347   11      611     8
18449   11      614     1
18473   11      615     2
18547   11      618     3
18557   11      618     4
18589   11      619     5
18601   11      620     6
18767   11      625     7
18863   11      628     8
18883   11      629     1
18931   11      631     2
18977   11      632     3
19019   11      633     4
19057   11      635     5
19187   11      639     6
19253   11      641     7
19261   11      642     8
19397   11      646     1
19459   11      648     2
19567   11      652     3
19573   11      652     4
19589   11      652     5
19591   11      653     6
19607   11      653     7
19643   11      654     8
19817   11      660     1
19921   11      664     2
20027   11      667     3
20033   11      667     4
20077   11      669     5
20159   11      671     6
20237   11      674     7
20251   11      675     8
20263   11      675     1
20329   11      677     2
20423   11      680     3
20447   11      681     4
20581   11      686     5
20587   11      686     6
20657   11      688     7
20729   11      690     8
20813   11      693     1
20867   11      695     2
20911   11      697     3
20953   11      698     4
21077   11      702     5
21097   11      703     6
21199   11      706     7
21203   11      706     8
21241   11      708     1
21287   11      709     2
21299   11      709     3
21497   11      716     4
21571   11      719     5
21593   11      719     6
21607   11      720     7
21643   11      721     8
21707   11      723     1
21869   11      728     2
21901   11      730     3
21917   11      730     4
21983   11      732     5
22069   11      735     6
22117   11      737     7
22127   11      737     8
22231   11      741     1
22333   11      744     2
22337   11      744     3
22373   11      745     4
22439   11      747     5
22547   11      751     6
22561   11      752     7
22627   11      754     8
22757   11      758     1
22763   11      758     2
22891   11      763     3
22939   11      764     4
22967   11      765     5
23009   11      766     6
23023   11      767     7
23137   11      771     8
23153   11      771     1
23177   11      772     2
23221   11      774     3
23387   11      779     4
23543   11      784     5
23551   11      785     6
23579   11      785     7
23597   11      786     8
23647   11      788     1
23713   11      790     2
23807   11      793     3
23809   11      793     4
23881   11      796     5
23933   11      797     6
24017   11      800     7
24149   11      804     8
24157   11      805     1
24211   11      807     2
24227   11      807     3
24323   11      810     4
24403   11      813     5
24437   11      814     6
24541   11      818     7
24647   11      821     8
24667   11      822     1
24679   11      822     2
24713   11      823     3
24719   11      823     4
24857   11      828     5
24871   11      829     6
25067   11      835     7
25093   11      836     8
25103   11      836     1
25177   11      839     2
25201   11      840     3
25277   11      842     4
25289   11      842     5
25487   11      849     6
25493   11      849     7
25531   11      851     8
25549   11      851     1
25687   11      856     2
25697   11      856     3
25783   11      859     4
25859   11      861     5
25861   11      862     6
25883   11      862     7
25907   11      863     8
26117   11      870     1
26191   11      873     2
26197   11      873     3
26273   11      875     4
26327   11      877     5
26419   11      880     6
26429   11      880     7
26473   11      882     8
26521   11      884     1
26537   11      884     2
26663   11      888     3
26707   11      890     4
26747   11      891     5
26851   11      895     6
26957   11      898     7
26999   11      899     8
27053   11      901     1
27163   11      905     2
27167   11      905     3
27181   11      906     4
27217   11      907     5
27289   11      909     6
27377   11      912     7
27443   11      914     8
27511   11      917     1
27569   11      918     2
27587   11      919     3
27727   11      924     4
27797   11      926     5
27833   11      927     6
27841   11      928     7
27853   11      928     8
28007   11      933     1
28139   11      937     2
28159   11      938     3
28171   11      939     4
28217   11      940     5
28223   11      940     6
28237   11      941     7
28427   11      947     8
28501   11      950     1
28543   11      951     2
28613   11      953     3
28637   11      954     4
28709   11      956     5
28747   11      958     6
28831   11      961     7
28847   11      961     8
29003   11      966     1
29029   11      967     2
29057   11      968     3
29161   11      972     4
29233   11      974     5
29257   11      975     6
29267   11      975     7
29279   11      975     8
29393   11      979     1
29477   11      982     2
29491   11      983     3
29687   11      989     4
29767   11      992     5
29783   11      992     6
29821   11      994     7
29849   11      994     8
29897   11      996     1
29899   11      996     2
29923   11      997     3
30107   11      1003    4
30151   11      1005    5
30173   11      1005    6
30277   11      1009    7
30317   11      1010    8
30419   11      1013    1
30481   11      1016    2
30527   11      1017    3
30563   11      1018    4
30613   11      1020    5
30737   11      1024    6
30769   11      1025    7
30787   11      1026    8
30811   11      1027    1
30947   11      1031    2
30953   11      1031    3
30989   11      1032    4
31141   11      1038    5
31157   11      1038    6
31297   11      1043    7
31303   11      1043    8
31343   11      1044    1
31367   11      1045    2
31471   11      1049    3
31559   11      1051    4
31577   11      1052    5
31639   11      1054    6
31733   11      1057    7
31787   11      1059    8
31801   11      1060    1
31807   11      1060    2
31993   11      1066    3
31997   11      1066    4
32123   11      1070    5
32129   11      1070    6
32131   11      1071    7
32207   11      1073    8
32317   11      1077    1
32417   11      1080    2
32461   11      1082    3
32509   11      1083    4
32513   11      1083    5
32627   11      1087    6
32683   11      1089    7
32699   11      1089    8
32791   11      1093    1
32827   11      1094    2
32837   11      1094    3
32903   11      1096    4
33047   11      1101    5
33121   11      1104    6
33257   11      1108    7
33269   11      1108    8
33293   11      1109    1
33337   11      1111    2
33373   11      1112    3
33379   11      1112    4
33451   11      1115    5
33467   11      1115    6
33677   11      1122    7
33683   11      1122    8
33781   11      1126    1
33839   11      1127    2
33847   11      1128    3
33887   11      1129    4
34063   11      1135    5
34073   11      1135    6
34097   11      1136    7
34111   11      1137    8
34249   11      1141    1
34307   11      1143    2
34357   11      1145    3
34409   11      1146    4
34441   11      1148    5
34463   11      1148    6
34517   11      1150    7
34727   11      1157    8
34753   11      1158    1
34771   11      1159    2
34853   11      1161    3
34867   11      1162    4
34937   11      1164    5
34979   11      1165    6
35101   11      1170    7
35119   11      1170    8
35147   11      1171    1
35243   11      1174    2
35357   11      1178    3
35377   11      1179    4
35431   11      1181    5
35443   11      1181    6
35549   11      1184    7
35567   11      1185    8
35633   11      1187    1
35761   11      1192    2
35777   11      1192    3
35887   11      1196    4
35987   11      1199    5
35989   11      1199    6
36023   11      1200    7
36091   11      1203    8
36119   11      1203    1
36133   11      1204    2
36197   11      1206    3
36397   11      1213    4
36407   11      1213    5
36413   11      1213    6
36421   11      1214    7
36617   11      1220    8
36689   11      1222    1
36751   11      1225    2
36803   11      1226    3
36823   11      1227    4
36827   11      1227    5
36859   11      1228    6
36907   11      1230    7
37037   11      1234    8
37081   11      1236    1
37193   11      1239    2
37247   11      1241    3
37259   11      1241    4
37411   11      1247    5
37417   11      1247    6
37457   11      1248    7
37513   11      1250    8
37583   11      1252    1
37667   11      1255    2
37729   11      1257    3
37741   11      1258    4
37829   11      1260    5
37877   11      1262    6
37927   11      1264    7
37973   11      1265    8
38071   11      1269    1
38087   11      1269    2
38203   11      1273    3
38297   11      1276    4
38363   11      1278    5
38399   11      1279    6
38401   11      1280    7
38437   11      1281    8
38507   11      1283    1
38599   11      1286    2
38717   11      1290    3
38731   11      1291    4
38753   11      1291    5
38893   11      1296    6
38927   11      1297    7
38947   11      1298    8
38969   11      1298    1
39061   11      1302    2
39137   11      1304    3
39143   11      1304    4
39347   11      1311    5
39391   11      1313    6
39457   11      1315    7
39469   11      1315    8
39533   11      1317    1
39539   11      1317    2
39557   11      1318    3
39583   11      1319    4
39721   11      1324    5
39767   11      1325    6
39923   11      1330    7
39967   11      1332    8
39977   11      1332    1
40051   11      1335    2
40109   11      1336    3
40187   11      1339    4
40273   11      1342    5
40313   11      1343    6
40339   11      1344    7
40381   11      1346    8
40397   11      1346    1
40477   11      1349    2
40607   11      1353    3
40679   11      1355    4
40703   11      1356    5
40711   11      1357    6
40817   11      1360    7
40963   11      1365    8
40987   11      1366    1
41027   11      1367    2
41041   11      1368    3
41093   11      1369    4
41209   11      1373    5
41237   11      1374    6
41249   11      1374    7
41371   11      1379    8
41447   11      1381    1
41483   11      1382    2
41497   11      1383    3
41653   11      1388    4
41657   11      1388    5
41701   11      1390    6
41819   11      1393    7
41867   11      1395    8
41873   11      1395    1
42007   11      1400    2
42031   11      1401    3
42077   11      1402    4
42079   11      1402    5
42263   11      1408    6
42287   11      1409    7
42343   11      1411    8
42361   11      1412    1
42389   11      1412    2
42497   11      1416    3
42517   11      1417    4
42653   11      1421    5
42691   11      1423    6
42707   11      1423    7
42917   11      1430    8
42949   11      1431    1
42959   11      1431    2
43021   11      1434    3
43027   11      1434    4
43033   11      1434    5
43043   11      1434    6
43127   11      1437    7
43337   11      1444    8
43351   11      1445    1
43433   11      1447    2
43529   11      1450    3
43537   11      1451    4
43547   11      1451    5
43681   11      1456    6
43723   11      1457    7
43757   11      1458    8
43819   11      1460    1
43823   11      1460    2
43967   11      1465    3
44011   11      1467    4
44047   11      1468    5
44099   11      1469    6
44177   11      1472    7
44213   11      1473    8
44341   11      1478    1
44387   11      1479    2
44413   11      1480    3
44557   11      1485    4
44597   11      1486    5
44603   11      1486    6
44669   11      1488    7
44671   11      1489    8
44689   11      1489    1
44807   11      1493    2
44993   11      1499    3
45001   11      1500    4
45017   11      1500    5
45067   11      1502    6
45103   11      1503    7
45227   11      1507    8
45239   11      1507    1
45331   11      1511    2
45383   11      1512    3
45437   11      1514    4
45559   11      1518    5
45577   11      1519    6
45647   11      1521    7
45661   11      1522    8
45773   11      1525    1
45793   11      1526    2
45809   11      1526    3
45857   11      1528    4
45991   11      1533    5
46067   11      1535    6
46087   11      1536    7
46163   11      1538    8
46277   11      1542    1
46321   11      1544    2
46379   11      1545    3
46429   11      1547    4
46483   11      1549    5
46487   11      1549    6
46553   11      1551    7
46597   11      1553    8
46651   11      1555    1
46697   11      1556    2
46907   11      1563    3
46943   11      1564    4
46949   11      1564    5
46981   11      1566    6
47107   11      1570    7
47117   11      1570    8
47173   11      1572    1
47299   11      1576    2
47311   11      1577    3
47327   11      1577    4
47333   11      1577    5
47519   11      1583    6
47537   11      1584    7
47617   11      1587    8
47641   11      1588    1
47723   11      1590    2
47747   11      1591    3
47863   11      1595    4
47957   11      1598    5
47971   11      1599    6
48089   11      1602    7
48113   11      1603    8
48127   11      1604    1
48167   11      1605    2
48169   11      1605    3
48301   11      1610    4
48377   11      1612    5
48503   11      1616    6
48553   11      1618    7
48587   11      1619    8
48631   11      1621    1
48637   11      1621    2
48659   11      1621    3
48797   11      1626    4
48893   11      1629    5
48961   11      1632    6
49007   11      1633    7
49039   11      1634    8
49147   11      1638    1
49217   11      1640    2
49229   11      1640    3
49243   11      1641    4
49283   11      1642    5
49291   11      1643    6
49427   11      1647    7
49621   11      1654    8
49637   11      1654    1
49657   11      1655    2
49673   11      1655    3
49799   11      1659    4
49847   11      1661    5
49909   11      1663    6
49933   11      1664    7
49951   11      1665    8
50057   11      1668    1
50063   11      1668    2
50167   11      1672    3
50267   11      1675    4
50281   11      1676    5
50369   11      1678    6
50453   11      1681    7
50477   11      1682    8
50611   11      1687    1
50623   11      1687    2
50677   11      1689    3
50687   11      1689    4
50779   11      1692    5
50843   11      1694    6
50897   11      1696    7
50939   11      1697    8
50941   11      1698    1
51107   11      1703    2
51187   11      1706    3
51233   11      1707    4
51271   11      1709    5
51313   11      1710    6
51317   11      1710    7
51509   11      1716    8
51527   11      1717    1
51601   11      1720    2
51623   11      1720    3
51649   11      1721    4
51697   11      1723    5
51737   11      1724    6
51931   11      1731    7
51947   11      1731    8
52003   11      1733    1
52013   11      1733    2
52079   11      1735    3
52157   11      1738    4
52207   11      1740    5
52261   11      1742    6
52367   11      1745    7
52403   11      1746    8
52519   11      1750    1
52577   11      1752    2
52591   11      1753    3
52649   11      1754    4
52693   11      1756    5
52717   11      1757    6
52787   11      1759    7
52793   11      1759    8
52921   11      1764    1
52997   11      1766    2
53183   11      1772    3
53207   11      1773    4
53219   11      1773    5
53227   11      1774    6
53251   11      1775    7
53383   11      1779    8
53389   11      1779    1
53417   11      1780    2
53573   11      1785    3
53581   11      1786    4
53627   11      1787    5
53737   11      1791    6
53789   11      1792    7
53837   11      1794    8
53911   11      1797    1
53963   11      1798    2
54047   11      1801    3
54073   11      1802    4
54241   11      1808    5
54247   11      1808    6
54257   11      1808    7
54259   11      1808    8
54353   11      1811    1
54359   11      1811    2
54467   11      1815    3
54571   11      1819    4
54677   11      1822    5
54743   11      1824    6
54757   11      1825    7
54763   11      1825    8
54887   11      1829    1
54901   11      1830    2
54929   11      1830    3
55097   11      1836    4
55129   11      1837    5
55133   11      1837    6
55231   11      1841    7
55267   11      1842    8
55307   11      1843    1
55453   11      1848    2
55499   11      1849    3
55517   11      1850    4
55523   11      1850    5
55561   11      1852    6
55727   11      1857    7
55777   11      1859    8
55891   11      1863    1
55913   11      1863    2
55937   11      1864    3
55999   11      1866    4
56069   11      1868    5
56143   11      1871    6
56147   11      1871    7
56221   11      1874    8
56287   11      1876    1
56303   11      1876    2
56357   11      1878    3
56551   11      1885    4
56567   11      1885    5
56639   11      1887    6
56693   11      1889    7
56777   11      1892    8
56797   11      1893    1
56833   11      1894    2
56869   11      1895    3
56881   11      1896    4
56987   11      1899    5
57083   11      1902    6
57197   11      1906    7
57209   11      1906    8
57211   11      1907    1
57307   11      1910    2
57407   11      1913    3
57473   11      1915    4
57523   11      1917    5
57541   11      1918    6
57617   11      1920    7
57739   11      1924    8
57779   11      1925    1
57817   11      1927    2
57827   11      1927    3
57863   11      1928    4
57871   11      1929    5
58037   11      1934    6
58201   11      1940    7
58213   11      1940    8
58247   11      1941    1
58253   11      1941    2
58327   11      1944    3
58349   11      1944    4
58457   11      1948    5
58531   11      1951    6
58609   11      1953    7
58643   11      1954    8
58667   11      1955    1
58837   11      1961    2
58861   11      1962    3
58877   11      1962    4
58903   11      1963    5
58919   11      1963    6
59033   11      1967    7
59087   11      1969    8
59191   11      1973    1
59297   11      1976    2
59347   11      1978    3
59423   11      1980    4
59479   11      1982    5
59489   11      1982    6
59507   11      1983    7
59521   11      1984    8
59593   11      1986    1
59717   11      1990    2
59813   11      1993    3
59851   11      1995    4
59857   11      1995    5
59927   11      1997    6
60059   11      2001    7
60137   11      2004    8
60181   11      2006    1
60203   11      2006    2
60283   11      2009    3
60347   11      2011    4
60349   11      2011    5
60367   11      2012    6
60511   11      2017    7
60557   11      2018    8
60593   11      2019    1
60629   11      2020    2
60767   11      2025    3
60841   11      2028    4
60877   11      2029    5
60973   11      2032    6
60977   11      2032    7
60983   11      2032    8
61171   11      2039    1
61187   11      2039    2
61199   11      2039    3
61219   11      2040    4
61373   11      2045    5
61387   11      2046    6
61397   11      2046    7
61501   11      2050    8
61607   11      2053    1
61663   11      2055    2
61763   11      2058    3
61769   11      2058    4
61817   11      2060    5
61831   11      2061    6
61897   11      2063    7
62027   11      2067    8
62089   11      2069    1
62153   11      2071    2
62161   11      2072    3
62237   11      2074    4
62339   11      2077    5
62353   11      2078    6
62407   11      2080    7
62447   11      2081    8
62491   11      2083    1
62543   11      2084    2
62657   11      2088    3
62821   11      2094    4
62867   11      2095    5
62909   11      2096    6
62917   11      2097    7
62933   11      2097    8
62959   11      2098    1
63043   11      2101    2
63077   11      2102    3
63151   11      2105    4
63287   11      2109    5
63323   11      2110    6
63427   11      2114    7
63479   11      2115    8
63481   11      2116    1
63497   11      2116    2
63707   11      2123    3
63713   11      2123    4
63733   11      2124    5
63811   11      2127    6
63829   11      2127    7
63917   11      2130    8
63937   11      2131    1
64049   11      2134    2
64103   11      2136    3
64127   11      2137    4
64141   11      2138    5
64337   11      2144    6
64423   11      2147    7
64447   11      2148    8
64471   11      2149    1
64493   11      2149    2
64547   11      2151    3
64619   11      2153    4
64699   11      2156    5
64757   11      2158    6
64801   11      2160    7
64883   11      2162    8
64957   11      2165    1
65113   11      2170    2
65131   11      2171    3
65189   11      2172    4
65273   11      2175    5
65461   11      2182    6
65467   11      2182    7
65569   11      2185    8
65663   11      2188    1
65759   11      2191    2
65791   11      2193    3
65803   11      2193    4
65977   11      2199    5
66053   11      2201    6
66121   11      2204    7
66329   11      2210    8
66439   11      2214    1
66443   11      2214    2
66451   11      2215    3
66487   11      2216    4
66493   11      2216    5
66781   11      2226    6
66833   11      2227    7
66899   11      2229    8
66997   11      2233    1
67111   11      2237    2
67183   11      2239    3
67223   11      2240    4
67309   11      2243    5
67441   11      2248    6
67469   11      2248    7
67507   11      2250    8
67613   11      2253    1
67771   11      2259    2
67873   11      2262    3
68003   11      2266    4
68017   11      2267    5
68039   11      2267    6
68101   11      2270    7
68179   11      2272    8
68393   11      2279    1
68431   11      2281    2
68527   11      2284    3
68563   11      2285    4
68609   11      2286    5
68761   11      2292    6
68783   11      2292    7
69037   11      2301    8
69049   11      2301    1
69091   11      2303    2
69173   11      2305    3
69179   11      2305    4
69253   11      2308    5
69421   11      2314    6
69547   11      2318    7
69563   11      2318    8
69749   11      2324    1
69751   11      2325    2
69919   11      2330    3
69943   11      2331    4
69953   11      2331    5
70057   11      2335    6
70081   11      2336    7
70319   11      2343    8
70343   11      2344    1
70411   11      2347    2
70567   11      2352    3
70633   11      2354    4
70733   11      2357    5
70741   11      2358    6
70789   11      2359    7
70889   11      2362    8
71071   11      2369    1
71077   11      2369    2
71123   11      2370    3
71323   11      2377    4
71401   11      2380    5
71459   11      2381    6
71513   11      2383    7
71587   11      2386    8
71659   11      2388    1
71731   11      2391    2
71903   11      2396    3
72013   11      2400    4
72029   11      2400    5
72061   11      2402    6
72097   11      2403    7
72293   11      2409    8
72391   11      2413    1
72529   11      2417    2
72599   11      2419    3
72607   11      2420    4
72683   11      2422    5
72703   11      2423    6
72721   11      2424    7
73051   11      2435    8
73073   11      2435    1
73117   11      2437    2
73169   11      2438    3
73381   11      2446    4
73393   11      2446    5
73399   11      2446    6
73463   11      2448    7
73627   11      2454    8
73711   11      2457    1
73739   11      2457    2
73853   11      2461    3
74041   11      2468    4
74083   11      2469    5
74137   11      2471    6
74243   11      2474    7
74269   11      2475    8
74309   11      2476    1
74371   11      2479    2
74633   11      2487    3
74647   11      2488    4
74701   11      2490    5
74773   11      2492    6
74879   11      2495    7
75023   11      2500    8
75031   11      2501    1
75139   11      2504    2
75157   11      2505    3
75361   11      2512    4
75413   11      2513    5
75449   11      2514    6
75463   11      2515    7
75667   11      2522    8
75691   11      2523    1
75803   11      2526    2
76009   11      2533    3
76019   11      2533    4
76021   11      2534    5
76153   11      2538    6
76177   11      2539    7
76193   11      2539    8
76351   11      2545    1
76583   11      2552    2
76589   11      2552    3
76681   11      2556    4
76687   11      2556    5
76843   11      2561    6
76879   11      2562    7
76973   11      2565    8
77011   11      2567    1
77159   11      2571    2
77197   11      2573    3
77341   11      2578    4
77363   11      2578    5
77533   11      2584    6
77671   11      2589    7
77707   11      2590    8
77729   11      2590    1
77749   11      2591    2
77753   11      2591    3
78001   11      2600    4
78143   11      2604    5
78217   11      2607    6
78223   11      2607    7
78299   11      2609    8
78331   11      2611    1
78533   11      2617    2
78619   11      2620    3
78661   11      2622    4
78727   11      2624    5
78869   11      2628    6
78913   11      2630    7
78923   11      2630    8
78991   11      2633    1
79237   11      2641    2
79313   11      2643    3
79321   11      2644    4
79439   11      2647    5
79489   11      2649    6
79603   11      2653    7
79651   11      2655    8
79703   11      2656    1
79747   11      2658    2
79981   11      2666    3
80009   11      2666    4
80093   11      2669    5
80257   11      2675    6
80293   11      2676    7
80311   11      2677    8
80359   11      2678    1
80483   11      2682    2
80579   11      2685    3
80641   11      2688    4
80767   11      2692    5
80873   11      2695    6
80971   11      2699    7
80983   11      2699    8
81149   11      2704    1
81229   11      2707    2
81263   11      2708    3
81277   11      2709    4
81301   11      2710    5
81631   11      2721    6
81653   11      2721    7
81673   11      2722    8
81719   11      2723    1
81787   11      2726    2
81961   11      2732    3
82043   11      2734    4
82099   11      2736    5
82289   11      2742    6
82291   11      2743    7
82297   11      2743    8
82363   11      2745    1
82433   11      2747    2
82621   11      2754    3
82807   11      2760    4
82823   11      2760    5
82859   11      2761    6
82951   11      2765    7
82969   11      2765    8
83053   11      2768    1
83213   11      2773    2
83281   11      2776    3
83317   11      2777    4
83429   11      2780    5
83603   11      2786    6
83611   11      2787    7
83743   11      2791    8
83827   11      2794    1
83839   11      2794    2
83941   11      2798    3
83993   11      2799    4
83999   11      2799    5
84271   11      2809    6
84337   11      2811    7
84383   11      2812    8
84433   11      2814    1
84569   11      2818    2
84601   11      2820    3
84709   11      2823    4
84773   11      2825    5
84847   11      2828    6
84931   11      2831    7
85123   11      2837    8
85139   11      2837    1
85163   11      2838    2
85261   11      2842    3
85357   11      2845    4
85553   11      2851    5
85579   11      2852    6
85591   11      2853    7
85709   11      2856    8
85813   11      2860    1
85867   11      2862    2
85921   11      2864    3
85943   11      2864    4
86251   11      2875    5
86279   11      2875    6
86333   11      2877    7
86377   11      2879    8
86449   11      2881    1
86503   11      2883    2
86581   11      2886    3
86723   11      2890    4
86849   11      2894    5
86887   11      2896    6
86911   11      2897    7
87113   11      2903    8
87193   11      2906    1
87241   11      2908    2
87319   11      2910    3
87397   11      2913    4
87419   11      2913    5
87503   11      2916    6
87571   11      2919    7
87883   11      2929    8
87893   11      2929    1
87901   11      2930    2
87907   11      2930    3
87989   11      2932    4
88189   11      2939    5
88231   11      2941    6
88283   11      2942    7
88417   11      2947    8
88559   11      2951    1
88561   11      2952    2
88573   11      2952    3
88673   11      2955    4
88891   11      2963    5
88927   11      2964    6
89059   11      2968    7
89063   11      2968    8
89129   11      2970    1
89221   11      2974    2
89263   11      2975    3
89437   11      2981    4
89453   11      2981    5
89551   11      2985    6
89699   11      2989    7
89843   11      2994    8
89881   11      2996    1
89929   11      2997    2
89947   11      2998    3
89953   11      2998    4
90211   11      3007    5
90233   11      3007    6
90269   11      3008    7
90457   11      3015    8
90541   11      3018    1
90623   11      3020    2
90643   11      3021    3
90799   11      3026    4
90839   11      3027    5
90871   11      3029    6
90967   11      3032    7
91013   11      3033    8
91201   11      3040    1
91333   11      3044    2
91403   11      3046    3
91409   11      3046    4
91477   11      3049    5
91531   11      3051    6
