#p01    #fam01  #n01    #color01
7111    1       237     8
7141    1       238     1
7147    1       238     2
7157    1       238     3
7171    1       239     4
7201    1       240     5
7231    1       241     6
7261    1       242     7
7271    1       242     8
7291    1       243     1
7321    1       244     2
7351    1       245     3
7357    1       245     4
7381    1       246     5
7411    1       247     6
7423    1       247     7
7429    1       247     8
7441    1       248     1
7471    1       249     2
7501    1       250     3
7531    1       251     4
7561    1       252     5
7567    1       252     6
7591    1       253     7
7601    1       253     8
7613    1       253     1
7621    1       254     2
7651    1       255     3
7667    1       255     4
7681    1       256     5
7711    1       257     6
7741    1       258     7
7771    1       259     8
7777    1       259     1
7801    1       260     2
7813    1       260     3
7831    1       261     4
7859    1       261     5
7861    1       262     6
7891    1       263     7
7921    1       264     8
7931    1       264     1
7951    1       265     2
7981    1       266     3
7987    1       266     4
7999    1       266     5
8011    1       267     6
8041    1       268     7
8071    1       269     8
8101    1       270     1
8131    1       271     2
8161    1       272     3
8177    1       272     4
8191    1       273     5
8197    1       273     6
8203    1       273     7
8221    1       274     8
8251    1       275     1
8261    1       275     2
8281    1       276     3
8303    1       276     4
8311    1       277     5
8341    1       278     6
8371    1       279     7
8401    1       280     8
8407    1       280     1
8431    1       281     2
8461    1       282     3
8491    1       283     4
8521    1       284     5
8551    1       285     6
8569    1       285     7
8581    1       286     8
8591    1       286     1
8593    1       286     2
8611    1       287     3
8617    1       287     4
8641    1       288     5
8671    1       289     6
8687    1       289     7
8701    1       290     8
8729    1       290     1
8731    1       291     2
8761    1       292     3
8791    1       293     4
8821    1       294     5
8827    1       294     6
8851    1       295     7
8881    1       296     8
8911    1       297     1
8921    1       297     2
8941    1       298     3
8971    1       299     4
8983    1       299     5
8993    1       299     6
9001    1       300     7
9031    1       301     8
9037    1       301     1
9061    1       302     2
9091    1       303     3
9121    1       304     4
9139    1       304     5
9151    1       305     6
9181    1       306     7
9197    1       306     8
9211    1       307     1
9241    1       308     2
9247    1       308     3
9251    1       308     4
9373    1       312     5
9457    1       315     6
9581    1       319     7
9599    1       319     8
9667    1       322     1
9683    1       322     2
9707    1       323     3
9709    1       323     4
9763    1       325     5
9877    1       329     6
9911    1       330     7
10087   1       336     8
10153   1       338     1
10217   1       340     2
10241   1       341     3
10279   1       342     4
10297   1       343     5
10373   1       345     6
10469   1       348     7
10507   1       350     8
10543   1       351     1
10571   1       352     2
10717   1       357     3
10727   1       357     4
10849   1       361     5
10901   1       363     6
10927   1       364     7
10933   1       364     8
11063   1       368     1
11137   1       371     2
11231   1       374     3
11237   1       374     4
11323   1       377     5
11339   1       377     6
11347   1       378     7
11419   1       380     8
11557   1       385     1
11561   1       385     2
11713   1       390     3
11747   1       391     4
11753   1       391     5
11767   1       392     6
11891   1       396     7
11977   1       399     8
11989   1       399     1
12103   1       403     2
12187   1       406     3
12209   1       406     4
12221   1       407     5
12257   1       408     6
12397   1       413     7
12443   1       414     8
12493   1       416     1
12551   1       418     2
12559   1       418     3
12607   1       420     4
12767   1       425     5
12817   1       427     6
12881   1       429     7
12883   1       429     8
13027   1       434     1
13079   1       435     2
13129   1       437     3
13133   1       437     4
13211   1       440     5
13237   1       441     6
13273   1       442     7
13277   1       442     8
13447   1       448     1
13541   1       451     2
13657   1       455     3
13663   1       455     4
13699   1       456     5
13787   1       459     6
13823   1       460     7
13867   1       462     8
13871   1       462     1
13949   1       464     2
14053   1       468     3
14077   1       469     4
14201   1       473     5
14269   1       475     6
14287   1       476     7
14297   1       476     8
14443   1       481     1
14497   1       483     2
14513   1       483     3
14531   1       484     4
14707   1       490     5
14807   1       493     6
14819   1       493     7
14833   1       494     8
14839   1       494     1
14861   1       495     2
14917   1       497     3
15127   1       504     4
15191   1       506     5
15203   1       506     6
15223   1       507     7
15317   1       510     8
15337   1       511     1
15409   1       513     2
15521   1       517     3
15547   1       518     4
15613   1       520     5
15689   1       522     6
15757   1       525     7
15827   1       527     8
15851   1       528     1
15893   1       529     2
15967   1       532     3
15979   1       532     4
16003   1       533     5
16177   1       539     6
16181   1       539     7
16337   1       544     8
16387   1       546     1
16393   1       546     2
16511   1       550     3
