#z      #x      #y      c
10      18      30      10
10      19      10      10
10      20      20      10
10      21      0       10
10      21      30      10
10      22      10      10
10      23      20      10
10      24      0       10
10      24      30      10
10      25      10      10
10      26      20      10
10      27      0       10
10      27      30      10
10      28      10      10
10      29      20      10
10      30      0       10
10      30      30      10


#z      #x      #y      #c
11      0       0       11
11      1       11      11
11      2       22      11
11      3       3       11
11      4       14      11
11      5       25      11
11      6       6       11
11      7       17      11
11      8       28      11
11      9       9       11
11      10      20      11
11      11      1       11
11      12      12      11
11      13      23      11
11      14      4       11
11      15      15      11
11      16      26      11
11      17      7       11
11      18      18      11
11      19      29      11
11      20      10      11
11      21      21      11
11      22      2       11
11      23      13      11
11      24      24      11
11      25      5       11
11      26      16      11
11      27      27      11
11      28      8       11
11      29      19      11
11      30      0       11
11      30      30      11



#z      #x      #y      #c
12      0       0       12
12      1       12      12
12      2       24      12
12      3       6       12
12      4       18      12
12      5       00      12
12      5       30      12
12      6       12      12
12      7       24      12
12      8       6       12
12      9       18      12
12      10      00      12
12      10      30      12
12      11      12      12
12      12      24      12
12      13      6       12
12      14      18      12
12      15      00      12
12      15      30      12
12      16      12      12
12      17      24      12
12      18      6       12
12      19      18      12
12      20      00      12
12      20      30      12
12      21      12      12
12      22      24      12
12      23      6       12
12      24      18      12
12      25      00      12
12      25      30      12
12      26      12      12
12      27      24      12
12      28      6       12
12      29      18      12
12      30      00      12
12      30      30      12


#z      #x      #y      #c
13      0       0       13
13      1       13      13
13      2       26      13
13      3       9       13
13      4       22      13
13      5       5       13
13      6       18      13
13      7       1       13
13      8       14      13
13      9       27      13
13      10      10      13
13      11      23      13
13      12      6       13
13      13      19      13
13      14      2       13
13      15      15      13
13      16      28      13
13      17      11      13
13      18      24      13
13      19      7       13
13      20      20      13
13      21      3       13
13      22      16      13
13      23      29      13
13      24      12      13
13      25      25      13
13      26      8       13
13      27      21      13
13      28      4       13
13      29      17      13
13      30      30      13


#z      #x      #y      #c
14      0       0       14
14      1       14      14
14      2       28      14
14      3       12      14
14      4       26      14
14      5       10      14
14      6       24      14
14      7       8       14
14      8       22      14
14      9       6       14
14      10      20      14
14      11      4       14
14      12      18      14
14      13      2       14
14      14      16      14
14      15      00      14
14      15      30      14
14      16      14      14
14      17      28      14
14      18      12      14
14      19      26      14
14      20      10      14
14      21      24      14
14      22      8       14
14      23      22      14
14      24      6       14
14      25      20      14
14      26      4       14
14      27      18      14
14      28      2       14
14      29      16      14
14      30      00      14
14      30      30      14


#z      #x      #y      #c
15      0       0       15
15      1       15      15
15      2       00      15
15      2       30      15
15      3       15      15
15      4       00      15
15      4       30      15
15      5       15      15
15      6       00      15
15      6       30      15
15      7       15      15
15      8       00      15
15      8       30      15
15      9       15      15
15      10      00      15
15      10      30      15
15      11      15      15
15      12      00      15
15      12      30      15
15      13      15      15
15      14      00      15
15      14      30      15
15      15      15      15
15      16      00      15
15      16      30      15
15      17      15      15
15      18      00      15
15      18      30      15
15      19      15      15
15      20      00      15
15      20      30      15
15      21      15      15
15      22      00      15
15      22      30      15
15      23      15      15
15      24      00      15
15      24      30      15
15      25      15      15
15      26      00      15
15      26      30      15
15      27      15      15
15      28      00      15
15      28      30      15
15      29      15      15
15      30      00      15
15      30      30      15


#z      #x      #y      #c
16      0       0       16
16      1       16      16
16      2       2       16
16      3       18      16
16      4       4       16
16      5       20      16
16      6       6       16
16      7       22      16
16      8       8       16
16      9       24      16
16      10      10      16
16      11      26      16
16      12      12      16
16      13      28      16
16      14      14      16
16      15      00      16
16      15      30      16
16      16      16      16
16      17      2       16
16      18      18      16
16      19      4       16
16      20      20      16
16      21      6       16
16      22      22      16
16      23      8       16
16      24      24      16
16      25      10      16
16      26      26      16
16      27      12      16
16      28      28      16
16      29      14      16
16      30      00      16
16      30      30      16



#z      #x      #y      #c
17      0       0       17
17      1       17      17
17      2       4       17
17      3       21      17
17      4       8       17
17      5       25      17
17      6       12      17
17      7       29      17
17      8       16      17
17      9       3       17
17      10      20      17
17      11      7       17
17      12      24      17
17      13      11      17
17      14      28      17
17      15      15      17
17      16      2       17
17      17      19      17
17      18      6       17
17      19      23      17
17      20      10      17
17      21      27      17
17      22      14      17
17      23      1       17
17      24      18      17
17      25      5       17
17      26      22      17
17      27      9       17
17      28      26      17
17      29      13      17
17      30      00      17
17      30      30      17



#z      #x      #y      #c
18      0       0       18
18      1       18      18
18      2       6       18
18      3       24      18
18      4       12      18
18      5       00      18
18      5       30      18
18      6       18      18
18      7       6       18
18      8       24      18
18      9       12      18
18      10      00      18
18      10      30      18
