 #p1              #n1          #risedata1       #color1
 0000000229       0000000019   0000000074       0000000002
 0000000247       0000000019   0000000084       0000000003
 0000000259       0000000019   0000000092       0000000004
 0000000289       0000000019   0000000105       0000000005
 0000000319       0000000019   0000000120       0000000006
 0000000323       0000000019   0000000130       0000000007
 0000000343       0000000019   0000000148       0000000008
 0000000349       0000000019   0000000161       0000000001
 0000000361       0000000019   0000000174       0000000002
 0000000379       0000000019   0000000186       0000000003
 0000000409       0000000019   0000000202       0000000004
 0000000437       0000000019   0000000220       0000000005
 0000000439       0000000019   0000000234       0000000006
 0000000469       0000000019   0000000255       0000000007
 0000000499       0000000019   0000000278       0000000008


 #p23             #n23         #risedata23      #color23
 0000000023       0000000023   0000000000       0000000001
 0000000053       0000000023   0000000002       0000000002
 0000000083       0000000023   0000000006       0000000003
 0000000113       0000000023   0000000012       0000000004
 0000000143       0000000023   0000000020       0000000005
 0000000161       0000000023   0000000030       0000000006
 0000000173       0000000023   0000000035       0000000007
 0000000203       0000000023   0000000048       0000000008
 0000000233       0000000023   0000000067       0000000001
 0000000253       0000000023   0000000076       0000000002
 0000000263       0000000023   0000000084       0000000003
 0000000293       0000000023   0000000096       0000000004
 0000000299       0000000023   0000000105       0000000005
 0000000323       0000000023   0000000120       0000000006
 0000000353       0000000023   0000000137       0000000007
 0000000371       0000000023   0000000156       0000000008
 0000000383       0000000023   0000000162       0000000001
 0000000391       0000000023   0000000176       0000000002
 0000000413       0000000023   0000000189       0000000003
 0000000437       0000000023   0000000206       0000000004
 0000000443       0000000023   0000000220       0000000005
 0000000473       0000000023   0000000240       0000000006
 0000000503       0000000023   0000000262       0000000007
 0000000529       0000000023   0000000286       0000000008


 #p29             #n29         #risedata29      #color29
 0000000029       0000000029   0000000000       0000000001
 0000000059       0000000029   0000000002       0000000002
 0000000089       0000000029   0000000006       0000000003
 0000000119       0000000029   0000000012       0000000004
 0000000149       0000000029   0000000020       0000000005
 0000000179       0000000029   0000000030       0000000006
 0000000203       0000000029   0000000042       0000000007
 0000000209       0000000029   0000000048       0000000008
 0000000239       0000000029   0000000067       0000000001
 0000000269       0000000029   0000000076       0000000002
 0000000299       0000000029   0000000087       0000000003
 0000000319       0000000029   0000000100       0000000004
 0000000329       0000000029   0000000110       0000000005
 0000000359       0000000029   0000000126       0000000006
 0000000377       0000000029   0000000144       0000000007
 0000000389       0000000029   0000000156       0000000008
 0000000413       0000000029   0000000163       0000000001
 0000000419       0000000029   0000000176       0000000002
 0000000449       0000000029   0000000192       0000000003
 0000000479       0000000029   0000000210       0000000004
 0000000493       0000000029   0000000230       0000000005
 0000000509       0000000029   0000000246       0000000006
 0000000539       0000000029   0000000269       0000000007
 0000000551       0000000029   0000000294       0000000008


