#z      #x      #y     000
19      4       16     1
19      5       5      1
19      6       24     1
19      7       13     1
19      8       2      1
19      9       21     1
19      10      10     1
19      11      29     1
19      12      18     1
19      13      7      1
19      14      26     1
19      15      15     1
19      16      4      1
19      17      23     1
19      18      12     1
19      19      1      1
19      20      20     1
19      21      9      1
19      22      28     1
19      23      17     1
19      24      6      1
19      25      25     1
19      26      14     1
19      27      3      1
19      28      22     1
19      29      11     1
19      30      00     1
19      30      30     1


#z      #x      #y     000
13      0       0      1
13      30      0      1
13      1       13     1
13      2       26     1
13      3       9      1
13      4       22     1
13      5       5      1
13      6       18     1
13      7       1      1
13      8       14     1
13      9       27     1
13      10      10     1
13      11      23     1
13      12      6      1
13      13      19     1
13      14      2      1
13      15      15     1
13      16      28     1
13      17      11     1
13      18      24     1
13      19      7      1
13      20      20     1
13      21      3      1
13      22      16     1
13      23      29     1
13      24      12     1
13      25      25     1
13      26      8      1
13      27      21     1
13      28      4      1
13      29      17     1
13      30      30     1
#z      #x      #y     000
17      0       0      1
17      1       17     1
17      2       4      1
17      3       21     1
17      4       8      1
17      5       25     1
17      6       12     1
17      7       29     1
17      8       16     1
17      9       3      1
17      10      20     1
17      11      7      1
17      12      24     1
17      13      11     1
17      14      28     1
17      15      15     1
17      16      2      1
17      17      19     1
17      18      6      1
17      19      23     1
17      20      10     1
17      21      27     1
17      22      14     1
17      23      1      1
17      24      18     1
17      25      5      1
17      26      22     1
17      27      9      1
17      28      26     1
17      29      13     1
17      30      00     1
17      30      30     1


#here1
#z      #x      #y     000
0       0       0      000
0       1       0      000
0       2       0      000
0       3       0      000
0       4       0      000
0       5       0      000
0       6       0      000
0       7       0      000
0       8       0      000
0       9       0      000
0       10      0      000
0       11      0      000
0       12      0      000
0       13      0      000
0       14      0      000
0       15      0      000
0       16      0      000
0       17      0      000
0       18      0      000
0       19      0      000
0       20      0      000
0       21      0      000
0       22      0      000
0       23      0      000
0       24      0      000
0       25      0      000
0       26      0      000
0       27      0      000
0       28      0      000
0       29      0      000
0       30      0      000

#z      #x      #y     000
2       0       0      000
2       30      0      000
2       1       2      000
2       2       4      000
2       3       6      000
2       4       8      000
2       5       10     000
2       6       12     000
2       7       14     000
2       8       16     000
2       9       18     000
2       10      20     000
2       11      22     000
2       12      24     000
2       13      26     000
2       14      28     000
2       15       0     000
2       15      30     000
2       16      2      000
2       17      4      000
2       18      6      000
2       19      8      000
2       20      10     000
2       21      12     000
2       22      14     000
2       23      16     000
2       24      18     000
2       25      20     000
2       26      22     000
2       27      24     000
2       28      26     000
2       29      28     000
2       30      30     000

#z      #x      #y     000
3       0       0      000
3       30      0      000
3       1       3      000
3       2       6      000
3       3       9      000
3       4       12     000
3       5       15     000
3       6       18     000
3       7       21     000
3       8       24     000
3       9       27     000
3       10      0      000
3       10      30     000
3       11      3      000
3       12      6      000
3       13      9      000
3       14      12     000
3       15      15     000
3       16      18     000
3       17      21     000
3       18      24     000
3       19      27     000
3       20      0      000
3       20      30     000
3       21      3      000
3       22      6      000
3       23      9      000
3       24      12     000
3       25      15     000
3       26      18     000
3       27      21     000
3       28      24     000
3       29      27     000
3       30      0      000
3       30      30     000

#z      #x      #y     000
