##here1
##z      #x      #y     000
 9       30      30     000
#
##z      #x      #y     000
 10      0       0      000
 10      1       10     000
 10      2       20     000
 10      3       0      000
 10      3       30     000
 10      4       10     000
 10      5       20     000
 10      6       0      000
 10      6       30     000
 10      7       10     000
 10      8       20     000
 10      9       0      000
 10      9       30     000
 10      10      10     000
 10      11      20     000
 10      12      0      000
 10      12      30     000
 10      13      10     000
 10      14      20     000
 10      15      0      000
 10      15      30     000
 10      16      10     000
 10      17      20     000
 10      18      0      000
 10      18      30     000
 10      19      10     000
 10      20      20     000
 10      21      0      000
 10      21      30     000
 10      22      10     000
 10      23      20     000
 10      24      0      000
 10      24      30     000
 10      25      10     000
 10      26      20     000
 10      27      0      000
 10      27      30     000
 10      28      10     000
 10      29      20     000
 10      30      0      000
 10      30      30     000
#
##z      #x      #y     000
 12      0       0      000
 12      1       12     000
 12      2       24     000
 12      3       6      000
 12      4       18     000
 12      5       00     000
 12      5       30     000
 12      6       12     000
 12      7       24     000
 12      8       6      000
 12      9       18     000
 12      10      00     000
 12      10      30     000
 12      11      12     000
 12      12      24     000
 12      13      6      000
 12      14      18     000
 12      15      00     000
 12      15      30     000
 12      16      12     000
 12      17      24     000
 12      18      6      000
 12      19      18     000
 12      20      00     000
 12      20      30     000
 12      21      12     000
 12      22      24     000
 12      23      6      000
 12      24      18     000
 12      25      00     000
 12      25      30     000
 12      26      12     000
 12      27      24     000
 12      28      6      000
 12      29      18     000
 12      30      00     000
 12      30      30     000
#
##z      #x      #y     000
 14      0       0      000
 14      1       14     000
 14      2       28     000
 14      3       12     000
 14      4       26     000
 14      5       10     000
 14      6       24     000
 14      7       8      000
 14      8       22     000
 14      9       6      000
 14      10      20     000
 14      11      4      000
 14      12      18     000
 14      13      2      000
 14      14      16     000
 14      15      00     000
 14      15      30     000
 14      16      14     000
 14      17      28     000
 14      18      12     000
 14      19      26     000
 14      20      10     000
 14      21      24     000
 14      22      8      000
 14      23      22     000
 14      24      6      000
 14      25      20     000
 14      26      4      000
 14      27      18     000
 14      28      2      000
 14      29      16     000
 14      30      00     000
 14      30      30     000
#
##z      #x      #y     000
 15      0       0      000
 15      1       15     000
 15      2       00     000
 15      2       30     000
 15      3       15     000
 15      4       00     000
 15      4       30     000
 15      5       15     000
 15      6       00     000
 15      6       30     000
 15      7       15     000
 15      8       00     000
 15      8       30     000
 15      9       15     000
 15      10      00     000
 15      10      30     000
 15      11      15     000
 15      12      00     000
 15      12      30     000
 15      13      15     000
 15      14      00     000
 15      14      30     000
 15      15      15     000
 15      16      00     000
 15      16      30     000
 15      17      15     000
 15      18      00     000
 15      18      30     000
 15      19      15     000
 15      20      00     000
 15      20      30     000
 15      21      15     000
 15      22      00     000
 15      22      30     000
 15      23      15     000
 15      24      00     000
 15      24      30     000
 15      25      15     000
 15      26      00     000
 15      26      30     000
 15      27      15     000
 15      28      00     000
 15      28      30     000
 15      29      15     000
 15      30      00     000
 15      30      30     000
#
##z      #x      #y     000
 16      0       0      000
 16      1       16     000
 16      2       2      000
 16      3       18     000
 16      4       4      000
 16      5       20     000
 16      6       6      000
 16      7       22     000
 16      8       8      000
 16      9       24     000
 16      10      10     000
 16      11      26     000
 16      12      12     000
 16      13      28     000
 16      14      14     000
 16      15      00     000
 16      15      30     000
 16      16      16     000
 16      17      2      000
 16      18      18     000
 16      19      4      000
 16      20      20     000
 16      21      6      000
 16      22      22     000
 16      23      8      000
 16      24      24     000
 16      25      10     000
 16      26      26     000
 16      27      12     000
 16      28      28     000
 16      29      14     000
 16      30      00     000
 16      30      30     000
#
##z      #x      #y     000
 18      0       0      000
 18      1       18     000
 18      2       6      000
 18      3       24     000
 18      4       12     000
 18      5       00     000
 18      5       30     000
 18      6       18     000
 18      7       6      000
 18      8       24     000
 18      9       12     000
 18      10      00     000
 18      10      30     000
 18      11      18     000
 18      12      6      000
 18      13      24     000
 18      14      12     000
 18      15      00     000
 18      15      30     000
 18      16      18     000
 18      17      6      000
 18      18      24     000
 18      19      12     000
 18      20      00     000
 18      20      30     000
 18      21      18     000
 18      22      6      000
 18      23      24     000
 18      24      12     000
 18      25      00     000
 18      25      30     000
 18      26      18     000
 18      27      6      000
 18      28      24     000
 18      29      12     000
 18      30      00     000
 18      30      30     000
#
##z      #x      #y     000
 20      0       0      000
 20      1       20     000
 20      2       10     000
 20      3       00     000
 20      3       30     000
 20      4       20     000
 20      5       10     000
 20      6       00     000
 20      6       30     000
 20      7       20     000
 20      8       10     000
 20      9       00     000
 20      9       30     000
 20      10      20     000
 20      11      10     000
 20      12      00     000
 20      12      30     000
 20      13      20     000
 20      14      10     000
 20      15      00     000
 20      15      30     000
 20      16      20     000
 20      17      10     000
 20      18      00     000
 20      18      30     000
 20      19      20     000
 20      20      10     000
 20      21      00     000
 20      21      30     000
 20      22      20     000
 20      23      10     000
 20      24      00     000
 20      24      30     000
 20      25      20     000
 20      26      10     000
 20      27      00     000
 20      27      30     000
 20      28      20     000
 20      29      10     000
 20      30      00     000
 20      30      30     000
#
##z      #x      #y     000
 21      0       0      000
 21      1       21     000
 21      2       12     000
 21      3       3      000
 21      4       24     000
 21      5       15     000
 21      6       6      000
 21      7       27     000
 21      8       18     000
 21      9       9      000
 21      10      00     000
 21      10      30     000
