# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x       y       z      c                   # comment
01      00      00      29                  #29
01      27      03      29                  #29
01      25      05      29                  #29
01      24      06      29                  #29
01      21      09      29                  #29
01      20      10      29                  #29
01      18      12      29                  #29
01      15      15      29                  #29
01      12      18      29                  #29
01      10      20      29                  #29
01      09      21      29                  #29
01      06      24      29                  #29
01      05      25      29                  #29
01      03      27      29                  #29
