#x      #y      #z      #c      #comment Prime
#x      #y      #z      #c      #comment Prime
05      00      00      0       #
05      01      05      0       #P
05      02      10      0       #P
05      03      15      0       #P
05      04      20      0       #
05      05      25      0       #P
05      06      0       0       #
05      07      05      0       #P
05      08      10      0       #
05      09      15      0       #
05      10      20      0       #
05      11      25      0       #P
05      12      0       0       #
05      13      05      0       #P
05      14      10      0       #
05      15      15      0       #
05      16      20      0       #
05      17      25      0       #P
05      18      0       0       #
05      19      05      0       #P
05      20      10      0       #
05      21      15      0       #
05      22      20      0       #
05      23      25      0       #P
05      24      0       0       #
05      25      05      0       #
05      26      10      0       #
05      27      15      0       #P
05      28      20      0       #
05      29      25      0       #P
#x      #y      #z      #c      #comment Prime
05      30      00      0       0
05      31      05      0       #P
05      32      10      0       #
05      33      15      0       #
05      34      20      0       #
05      35      25      0       #
05      36      0       0       #
05      37      05      0       #P
05      38      10      0       #
05      39      15      0       #
05      40      20      0       #
05      41      25      0       #P
05      42      0       0       #
05      43      05      0       #P
05      44      10      0       #
05      45      15      0       #
05      46      20      0       #
05      47      25      0       #P
05      48      0       0       #
05      49      05      0       #
05      50      10      0       #
05      51      15      0       #
05      52      20      0       #
05      53      25      0       #P
05      54      0       0       #
05      55      05      0       #
05      56      10      0       #
05      57      15      0       #
05      58      20      0       #
05      59      25      0       #P
#x      #y      #z      #c      #comment Prime
05      60      0       0       #
05      61      05      0       #P
05      62      10      0       #
05      63      15      0       #
05      64      20      0       #
05      65      25      0       #
05      66      0       0       #
05      67      05      0       #P
05      68      10      0       #
05      69      15      0       #
05      70      20      0       #
05      71      25      0       #P
05      72      0       0       #
05      73      05      0       #
05      74      10      0       #
05      75      15      0       #
05      76      20      0       #
05      77      25      0       #
05      78      0       0       #
05      79      05      0       #P
05      80      10      0       #
05      81      15      0       #
05      82      20      0       #
05      83      25      0       #P
05      84      0       0       #
05      85      05      0       #
05      86      10      0       #
05      87      15      0       #
05      88      20      0       #
05      89      25      0       #P
#x      #y      #z      #c      #comment Prime
06      00      00      0       #
06      01      06      0       #P
06      02      12      0       #P
06      03      18      0       #P
06      04      24      0       #
06      05      00      0       #P
06      06      06      0       #
06      07      12      0       #P
06      08      18      0       #
06      09      24      0       #
06      10      0       0       #
06      11      06      0       #P
06      12      12      0       #
06      13      18      0       #P
06      14      24      0       #
06      15      0       0       #
06      16      06      0       #
06      17      12      0       #P
06      18      18      0       #
06      19      24      0       #P
06      20      0       0       #
06      21      06      0       #
06      22      12      0       #
06      23      18      0       #P
06      24      24      0       #
06      25      0       0       #
06      26      06      0       #
06      27      12      0       #P
06      28      18      0       #
06      29      24      0       #P
#x      #y      #z      #c      #comment Prime
06      30      00      0       0
06      31      06      0       #P
06      32      12      0       #
06      33      18      0       #
06      34      24      0       #
06      35      0       0       #
06      36      06      0       #
06      37      12      0       #P
06      38      18      0       #
06      39      24      0       #
06      40      0       0       #
06      41      06      0       #P
06      42      12      0       #
06      43      18      0       #P
06      44      24      0       #
06      45      0       0       #
06      46      06      0       #
06      47      12      0       #P
06      48      18      0       #
06      49      24      0       #
06      50      0       0       #
06      51      06      0       #
06      52      12      0       #
06      53      18      0       #P
06      54      24      0       #
06      55      0       0       #
06      56      06      0       #
06      57      12      0       #
06      58      18      0       #
06      59      24      0       #P
#x      #y      #z      #c      #comment Prime
06      60      0       0       #
06      61      06      0       #P
06      62      12      0       #
06      63      18      0       #
06      64      24      0       #
06      65      0       0       #
06      66      06      0       #
06      67      12      0       #P
06      68      18      0       #
06      69      24      0       #
06      70      0       0       #
06      71      06      0       #P
06      72      12      0       #
06      73      18      0       #
06      74      24      0       #
06      75      0       0       #
06      76      06      0       #
06      77      12      0       #
06      78      18      0       #
06      79      24      0       #P
06      80      0       0       #
06      81      06      0       #
06      82      12      0       #
06      83      18      0       #P
06      84      24      0       #
06      85      0       0       #
06      86      06      0       #
06      87      12      0       #
06      88      18      0       #
06      89      24      0       #P
#x      #y      #z      #c      #comment Prime
08      00      00      0       #
08      01      08      0       #P
08      02      16      0       #P
08      03      24      0       #P
08      04      02      0       #
08      05      10      0       #P
08      06      18      0       #
08      07      26      0       #P
08      08      04      0       #
08      09      12      0       #
08      10      20      0       #
08      11      28      0       #P
08      12      06      0       #
08      13      14      0       #P
08      14      22      0       #
08      15      0       0       #
08      16      08      0       #
08      17      16      0       #P
08      18      24      0       #
08      19      02      0       #P
08      20      10      0       #
08      21      18      0       #
08      22      26      0       #
08      23      04      0       #P
08      24      12      0       #
08      25      20      0       #
08      26      28      0       #
08      27      06      0       #P
08      28      14      0       #
08      29      22      0       #P
#x      #y      #z      #c      #comment Prime
08      30      00      0       0
08      31      08      0       #P
08      32      16      0       #
08      33      24      0       #
08      34      02      0       #
08      35      10      0       #
08      36      18      0       #
08      37      26      0       #P
08      38      04      0       #
08      39      12      0       #
08      40      20      0       #
08      41      28      0       #P
08      42      06      0       #
08      43      14      0       #P
08      44      22      0       #
08      45      0       0       #
08      46      08      0       #
08      47      16      0       #P
08      48      24      0       #
08      49      02      0       #
08      50      10      0       #
08      51      18      0       #
08      52      26      0       #
08      53      04      0       #P
08      54      12      0       #
08      55      20      0       #
08      56      28      0       #
08      57      06      0       #
08      58      14      0       #
08      59      22      0       #P
#x      #y      #z      #c      #comment Prime
08      60      0       0       #
08      61      08      0       #P
08      62      16      0       #
08      63      24      0       #
08      64      02      0       #
08      65      10      0       #
08      66      18      0       #
08      67      26      0       #P
08      68      04      0       #
08      69      12      0       #
08      70      20      0       #
08      71      28      0       #P
08      72      06      0       #
08      73      14      0       #
08      74      22      0       #
08      75      0       0       #
08      76      08      0       #
08      77      16      0       #
08      78      24      0       #
08      79      02      0       #P
08      80      10      0       #
08      81      18      0       #
08      82      26      0       #
08      83      04      0       #P
08      84      12      0       #
08      85      20      0       #
08      86      28      0       #
08      87      06      0       #
08      88      14      0       #
08      89      22      0       #P
#x      #y      #z      #c      #comment Prime
09      00      00      0       #
09      01      09      0       #P
09      02      18      0       #P
09      03      27      0       #P
09      04      06      0       #
09      05      15      0       #P
09      06      24      0       #
09      07      03      0       #P
09      08      12      0       #
09      09      21      0       #
09      10      0       0       #
09      11      09      0       #P
09      12      18      0       #
09      13      27      0       #P
09      14      06      0       #
09      15      15      0       #
09      16      24      0       #
09      17      03      0       #P
09      18      12      0       #
09      19      21      0       #P
09      20      0       0       #
09      21      09      0       #
09      22      18      0       #
09      23      27      0       #P
09      24      06      0       #
09      25      15      0       #
09      26      24      0       #
09      27      03      0       #P
09      28      12      0       #
09      29      21      0       #P
#x      #y      #z      #c      #comment Prime
09      30      00      0       0
09      31      09      0       #P
09      32      18      0       #
09      33      27      0       #
09      34      06      0       #
09      35      15      0       #
09      36      24      0       #
09      37      03      0       #P
09      38      12      0       #
09      39      21      0       #
09      40      0       0       #
09      41      09      0       #P
09      42      18      0       #
09      43      27      0       #P
09      44      06      0       #
09      45      15      0       #
09      46      24      0       #
09      47      03      0       #P
09      48      12      0       #
09      49      21      0       #
09      50      0       0       #
09      51      09      0       #
09      52      18      0       #
09      53      27      0       #P
09      54      06      0       #
09      55      15      0       #
09      56      24      0       #
09      57      03      0       #
09      58      12      0       #
09      59      21      0       #P
#x      #y      #z      #c      #comment Prime
09      60      0       0       #
09      61      09      0       #P
09      62      18      0       #
09      63      27      0       #
09      64      06      0       #
09      65      15      0       #
09      66      24      0       #
09      67      03      0       #P
09      68      12      0       #
09      69      21      0       #
09      70      0       0       #
09      71      09      0       #P
09      72      18      0       #
09      73      27      0       #
09      74      06      0       #
09      75      15      0       #
09      76      24      0       #
09      77      03      0       #
09      78      12      0       #
09      79      21      0       #P
09      80      0       0       #
09      81      09      0       #
09      82      18      0       #
09      83      27      0       #P
09      84      06      0       #
09      85      15      0       #
09      86      24      0       #
09      87      03      0       #
09      88      12      0       #
09      89      21      0       #P
#x      #y      #z      #c      #comment Prime
10      00      00      0       #
10      01      10      0       #P
10      02      20      0       #P
10      03      00      0       #P
10      04      10      0       #
10      05      20      0       #P
10      06      0       0       #
10      07      10      0       #P
10      08      20      0       #
10      09      0       0       #
10      10      10      0       #
10      11      20      0       #P
10      12      0       0       #
10      13      10      0       #P
10      14      20      0       #
10      15      0       0       #
10      16      10      0       #
10      17      20      0       #P
10      18      0       0       #
10      19      10      0       #P
10      20      20      0       #
10      21      0       0       #
10      22      10      0       #
10      23      20      0       #P
10      24      0       0       #
10      25      10      0       #
10      26      20      0       #
10      27      0       0       #P
10      28      10      0       #
10      29      20      0       #P
#x      #y      #z      #c      #comment Prime
10      30      00      0       0
10      31      10      0       #P
10      32      20      0       #
10      33      0       0       #
10      34      10      0       #
10      35      20      0       #
10      36      0       0       #
10      37      10      0       #P
10      38      20      0       #
10      39      0       0       #
10      40      10      0       #
10      41      20      0       #P
10      42      0       0       #
10      43      10      0       #P
10      44      20      0       #
10      45      0       0       #
10      46      10      0       #
10      47      20      0       #P
10      48      0       0       #
10      49      10      0       #
10      50      20      0       #
10      51      0       0       #
10      52      10      0       #
10      53      20      0       #P
10      54      0       0       #
10      55      10      0       #
10      56      20      0       #
10      57      0       0       #
10      58      10      0       #
10      59      20      0       #P
#x      #y      #z      #c      #comment Prime
10      60      0       0       #
10      61      10      0       #P
10      62      20      0       #
10      63      0       0       #
10      64      10      0       #
10      65      20      0       #
10      66      0       0       #
10      67      10      0       #P
10      68      20      0       #
10      69      0       0       #
10      70      10      0       #
10      71      20      0       #P
10      72      0       0       #
10      73      10      0       #
10      74      20      0       #
10      75      0       0       #
10      76      10      0       #
10      77      20      0       #
10      78      0       0       #
10      79      10      0       #P
10      80      20      0       #
10      81      0       0       #
10      82      10      0       #
10      83      20      0       #P
10      84      0       0       #
10      85      10      0       #
10      86      20      0       #
10      87      0       0       #
10      88      10      0       #
10      89      20      0       #P
#x      #y      #z      #c      #comment Prime
12      00      00      0       #
12      01      12      0       #P
12      02      24      0       #P
12      03      06      0       #P
12      04      18      0       #
12      05      00      0       #P
12      06      12      0       #
12      07      24      0       #P
12      08      06      0       #
12      09      18      0       #
12      10      0       0       #
12      11      12      0       #P
12      12      24      0       #
12      13      06      0       #P
12      14      18      0       #
12      15      0       0       #
12      16      12      0       #
12      17      24      0       #P
12      18      06      0       #
12      19      18      0       #P
12      20      0       0       #
12      21      12      0       #
12      22      24      0       #
12      23      06      0       #P
12      24      18      0       #
12      25      0       0       #
12      26      12      0       #
12      27      24      0       #P
12      28      06      0       #
12      29      18      0       #P
#x      #y      #z      #c      #comment Prime
12      30      00      0       0
12      31      12      0       #P
12      32      24      0       #
12      33      06      0       #
12      34      18      0       #
12      35      0       0       #
12      36      12      0       #
12      37      24      0       #P
12      38      06      0       #
12      39      18      0       #
12      40      0       0       #
12      41      12      0       #P
12      42      24      0       #
12      43      06      0       #P
12      44      18      0       #
12      45      0       0       #
12      46      12      0       #
12      47      24      0       #P
12      48      06      0       #
12      49      18      0       #
12      50      0       0       #
12      51      12      0       #
12      52      24      0       #
12      53      06      0       #P
12      54      18      0       #
12      55      0       0       #
12      56      12      0       #
12      57      24      0       #
12      58      06      0       #
12      59      18      0       #P
#x      #y      #z      #c      #comment Prime
12      60      0       0       #
12      61      12      0       #P
12      62      24      0       #
12      63      06      0       #
12      64      18      0       #
12      65      0       0       #
12      66      12      0       #
12      67      24      0       #P
12      68      06      0       #
12      69      18      0       #
12      70      0       0       #
12      71      12      0       #P
12      72      24      0       #
12      73      06      0       #
12      74      18      0       #
12      75      0       0       #
12      76      12      0       #
12      77      24      0       #
12      78      06      0       #
12      79      18      0       #P
12      80      0       0       #
12      81      12      0       #
12      82      24      0       #
12      83      06      0       #P
12      84      18      0       #
12      85      0       0       #
12      86      12      0       #
12      87      24      0       #
12      88      06      0       #
12      89      18      0       #P
#x      #y      #z      #c      #comment Prime
14      00      00      0       #
14      01      14      0       #P
14      02      28      0       #P
14      03      12      0       #P
14      04      26      0       #
14      05      10      0       #P
14      06      24      0       #
14      07      08      0       #P
14      08      22      0       #
14      09      06      0       #
14      10      20      0       #
14      11      04      0       #P
14      12      18      0       #
14      13      02      0       #P
14      14      16      0       #
14      15      0       0       #
14      16      14      0       #
14      17      28      0       #P
14      18      12      0       #
14      19      26      0       #P
14      20      10      0       #
14      21      24      0       #
14      22      08      0       #
14      23      22      0       #P
14      24      06      0       #
14      25      20      0       #
14      26      04      0       #
14      27      18      0       #P
14      28      02      0       #
14      29      16      0       #P
#x      #y      #z      #c      #comment Prime
14      30      00      0       0
14      31      14      0       #P
14      32      28      0       #
14      33      12      0       #
14      34      26      0       #
14      35      10      0       #
14      36      24      0       #
14      37      08      0       #P
14      38      22      0       #
14      39      06      0       #
14      40      20      0       #
14      41      04      0       #P
14      42      18      0       #
14      43      02      0       #P
14      44      16      0       #
14      45      0       0       #
14      46      14      0       #
14      47      28      0       #P
14      48      12      0       #
14      49      26      0       #
14      50      10      0       #
14      51      24      0       #
14      52      08      0       #
14      53      22      0       #P
14      54      06      0       #
14      55      20      0       #
14      56      04      0       #
14      57      18      0       #
14      58      02      0       #
14      59      16      0       #P
#x      #y      #z      #c      #comment Prime
14      60      0       0       #
14      61      14      0       #P
14      62      28      0       #
14      63      12      0       #
14      64      26      0       #
14      65      10      0       #
14      66      24      0       #
14      67      08      0       #P
14      68      22      0       #
14      69      06      0       #
14      70      20      0       #
14      71      04      0       #P
14      72      18      0       #
14      73      02      0       #
14      74      16      0       #
14      75      0       0       #
14      76      14      0       #
14      77      28      0       #
14      78      12      0       #
14      79      26      0       #P
14      80      10      0       #
14      81      24      0       #
14      82      08      0       #
14      83      22      0       #P
14      84      06      0       #
14      85      20      0       #
14      86      04      0       #
14      87      18      0       #
14      88      02      0       #
14      89      16      0       #P
#x      #y      #z      #c      #comment Prime
15      00      00      0       #
15      01      15      0       #P
15      02      00      0       #P
15      03      15      0       #P
15      04      00      0       #
15      05      15      0       #P
15      06      0       0       #
15      07      15      0       #P
15      08      0       0       #
15      09      15      0       #
15      10      0       0       #
15      11      15      0       #P
15      12      0       0       #
15      13      15      0       #P
15      14      0       0       #
15      15      15      0       #
15      16      0       0       #
15      17      15      0       #P
15      18      0       0       #
15      19      15      0       #P
15      20      0       0       #
15      21      15      0       #
15      22      0       0       #
15      23      15      0       #P
15      24      0       0       #
15      25      15      0       #
15      26      0       0       #
15      27      15      0       #P
15      28      0       0       #
15      29      15      0       #P
#x      #y      #z      #c      #comment Prime
15      30      00      0       0
15      31      15      0       #P
15      32      0       0       #
15      33      15      0       #
15      34      0       0       #
15      35      15      0       #
15      36      0       0       #
15      37      15      0       #P
15      38      0       0       #
15      39      15      0       #
15      40      0       0       #
15      41      15      0       #P
15      42      0       0       #
15      43      15      0       #P
15      44      0       0       #
15      45      15      0       #
15      46      0       0       #
15      47      15      0       #P
15      48      0       0       #
15      49      15      0       #
15      50      0       0       #
15      51      15      0       #
15      52      0       0       #
15      53      15      0       #P
15      54      0       0       #
15      55      15      0       #
15      56      0       0       #
15      57      15      0       #
15      58      0       0       #
15      59      15      0       #P
#x      #y      #z      #c      #comment Prime
15      60      0       0       #
15      61      15      0       #P
15      62      0       0       #
15      63      15      0       #
15      64      0       0       #
15      65      15      0       #
15      66      0       0       #
15      67      15      0       #P
15      68      0       0       #
15      69      15      0       #
15      70      0       0       #
15      71      15      0       #P
15      72      0       0       #
15      73      15      0       #
