#x      #y      #z      #c      #comment Prime
7       01      07      2       #P
7       07      19      2       #P
7       11      17      2       #P
7       13      01      2       #P
7       17      29      2       #P
7       19      13      2       #P
7       23      11      2       #P
7       29      23      2       #P
#x      #y      #z      #c      #comment Prime
23      01      23      2       #P
23      07      11      2       #P
23      11      13      2       #P
23      13      29      2       #P
23      17      01      2       #P
23      19      17      2       #P
23      23      19      2       #P
23      29      07      2       #P
