#x      #y      #z      #c      #comment Prime
1       01      11      3       #P 11
1       07      17      3       #P 11
1       11      01      3       #P 11
1       13      23      3       #P 11
1       17      07      3       #P 11
1       19      29      3       #P 11
1       23      13      3       #P 11
1       29      19      3       #P 11
#x      #y      #z      #c      #comment Prime
01      01      19      3       #P    19
01      07      13      3       #P    19
01      11      29      3       #P    19
01      13      07      3       #P    19
01      17      23      3       #P    19
01      19      01      3       #P    19
01      23      17      3       #P    19
01      29      11      3       #P    19
