#x      #y      #z      #c      #comment Prime
01      01      07      2       #P 7
01      07      19      2       #P 7
01      11      17      2       #P 7
01      13      01      2       #P 7
01      17      29      2       #P 7
01      19      13      2       #P 7
01      23      11      2       #P 7
01      29      23      2       #P 7
#x      #y      #z      #c      #comment Prime
01      01      23      2       #P   23
01      07      11      2       #P   23
01      11      13      2       #P   23
01      13      29      2       #P   23
01      17      01      2       #P   23
01      19      17      2       #P   23
01      23      19      2       #P   23
01      29      07      2       #P   23
