#x      #y      #z      #c      #comment Prime
11      01      11      3       #P
11      03      03      3       #P
11      07      17      3       #P
11      11      01      3       #P
11      13      23      3       #P
11      17      07      3       #P
11      19      29      3       #P
11      23      13      3       #P
11      27      27      3       #P
11      29      19      3       #P
#x      #y      #z      #c      #comment Prime
11      31      11      3       #P
11      37      17      3       #P
11      41      01      3       #P
11      43      23      3       #P
11      47      07      3       #P
11      53      13      3       #P
11      59      19      3       #P
#x      #y      #z      #c      #comment Prime
11      61      11      3       #P
11      67      17      3       #P
11      71      01      3       #P
11      79      29      3       #P
11      83      13      3       #P
11      89      19      3       #P
