#x      #y      #z      #c      #comment Prime
7       1       7       7       #P
7       7       19      7       #P
7       11      17      7       #P
7       13      1       7       #P
7       17      29      7       #P
7       19      13      7       #P
7       23      11      7       #P
7       29      23      7       #P
#x      #y      #z      #c      #comment Prime
7       31      37      7       #P
7       37      49      7       #P
7       41      47      7       #P
7       43      31      7       #P
7       47      59      7       #P
7       53      41      7       #P
7       59      53      7       #P
#x      #y      #z      #c      #comment Prime
7       61      67      7       #P
7       67      79      7       #P
7       71      77      7       #P
7       79      73      7       #P
7       83      71      7       #P
7       89      83      7       #P
#x      #y      #z      #c      #comment Prime
23      1       23      23      #P
23      7       11      23      #P
23      11      13      23      #P
23      13      29      23      #P
23      17      1       23      #P
23      19      17      23      #P
23      23      19      23      #P
23      29      7       23      #P
#x      #y      #z      #c      #comment Prime
23      31      53      23      #P
23      37      41      23      #P
23      41      43      23      #P
23      43      59      23      #P
23      47      31      23      #P
23      53      49      23      #P
23      59      37      23      #P
#x      #y      #z      #c      #comment Prime
23      61      83      23      #P
23      67      71      23      #P
23      71      73      23      #P
23      79      77      23      #P
23      83      79      23      #P
23      89      67      23      #P
