#x      #y      #z      #c      #comment Prime
13      1       13      13      #P
13      7       1       13      #P
13      11      23      13      #P
13      13      19      13      #P
13      17      11      13      #P
13      19      7       13      #P
13      23      29      13      #P
13      29      17      13      #P
#x      #y      #z      #c      #comment Prime
13      31      43      13      #P
13      37      31      13      #P
13      41      53      13      #P
13      43      49      13      #P
13      47      41      13      #P
13      53      59      13      #P
13      59      47      13      #P
#x      #y      #z      #c      #comment Prime
13      61      73      13      #P
13      67      61      13      #P
13      71      83      13      #P
13      79      67      13      #P
13      83      89      13      #P
13      89      77      13      #P
#x      #y      #z      #c      #comment Prime
17      1       17      17      #P
17      7       29      17      #P
17      11      7       17      #P
17      13      11      17      #P
17      17      19      17      #P
17      19      23      17      #P
17      23      1       17      #P
17      29      13      17      #P
#x      #y      #z      #c      #comment Prime
17      31      47      17      #P
17      37      59      17      #P
17      41      37      17      #P
17      43      41      17      #P
17      47      49      17      #P
17      53      31      17      #P
17      59      43      17      #P
#x      #y      #z      #c      #comment Prime
17      61      77      17      #P
17      67      89      17      #P
17      71      67      17      #P
17      79      83      17      #P
17      83      61      17      #P
17      89      73      17      #P
