#x,y,z,prime,color
x,y,z,prime,pcolor
01,01,00,001,BLUE
01,01,01,031,BLUE
01,01,02,061,BLUE
01,01,05,151,BLUE
01,01,06,181,BLUE
01,01,07,211,BLUE
01,01,08,241,BLUE
01,01,09,271,BLUE
01,01,11,331,BLUE
01,01,14,421,BLUE
01,01,18,541,BLUE
01,01,19,571,BLUE
01,01,20,601,BLUE
01,01,21,631,BLUE
01,01,22,661,BLUE
01,01,23,691,BLUE
01,01,25,751,BLUE
01,01,27,811,BLUE
01,01,33,991,BLUE
07,07,00,007,GREEN
07,07,01,037,GREEN
07,07,02,067,GREEN
07,07,03,097,GREEN
07,07,04,127,GREEN
07,07,05,157,GREEN
07,07,09,277,GREEN
07,07,10,307,GREEN
07,07,11,337,GREEN
07,07,12,367,GREEN
07,07,13,397,GREEN
07,07,15,457,GREEN
07,07,16,487,GREEN
07,07,18,547,GREEN
07,07,19,577,GREEN
07,07,20,607,GREEN
07,07,24,727,GREEN
07,07,25,757,GREEN
07,07,26,787,GREEN
07,07,29,877,GREEN
07,07,30,907,GREEN
07,07,31,937,GREEN
07,07,32,967,GREEN
07,07,33,997,GREEN
11,11,00,011,RED
11,11,01,041,RED
11,11,02,071,RED
11,11,03,101,RED
11,11,04,131,RED
11,11,06,191,RED
11,11,08,251,RED
11,11,09,281,RED
11,11,10,311,RED
11,11,13,401,RED
11,11,14,431,RED
11,11,15,461,RED
11,11,16,491,RED
11,11,17,521,RED
11,11,21,641,RED
11,11,23,701,RED
11,11,25,761,RED
11,11,27,821,RED
11,11,29,881,RED
11,11,30,911,RED
11,11,31,941,RED
11,11,32,971,RED
13,13,00,013,GOLD
13,13,01,043,GOLD
13,13,02,073,GOLD
13,13,03,103,GOLD
13,13,05,163,GOLD
13,13,06,193,GOLD
13,13,07,223,GOLD
13,13,09,283,GOLD
13,13,10,313,GOLD
13,13,12,373,GOLD
13,13,14,433,GOLD
13,13,15,463,GOLD
13,13,17,523,GOLD
13,13,20,613,GOLD
13,13,21,643,GOLD
13,13,22,673,GOLD
13,13,24,733,GOLD
13,13,27,823,GOLD
13,13,28,853,GOLD
13,13,29,883,GOLD
17,17,00,017,GOLD
17,17,01,047,GOLD
17,17,03,107,GOLD
17,17,04,137,GOLD
17,17,05,167,GOLD
17,17,06,197,GOLD
17,17,07,227,GOLD
17,17,08,257,GOLD
17,17,10,317,GOLD
17,17,11,347,GOLD
17,17,15,467,GOLD
17,17,18,557,GOLD
17,17,19,587,GOLD
17,17,20,617,GOLD
17,17,21,647,GOLD
17,17,22,677,GOLD
17,17,26,797,GOLD
17,17,27,827,GOLD
17,17,28,857,GOLD
17,17,29,887,GOLD
17,17,31,947,GOLD
17,17,32,977,GOLD
19,19,00,019,RED
19,19,02,079,RED
19,19,03,109,RED
19,19,04,139,RED
19,19,06,199,RED
19,19,07,229,RED
19,19,11,349,RED
19,19,12,379,RED
19,19,13,409,RED
19,19,14,439,RED
19,19,16,499,RED
19,19,20,619,RED
19,19,23,709,RED
19,19,24,739,RED
19,19,25,769,RED
19,19,27,829,RED
19,19,28,859,RED
19,19,30,919,RED
19,19,33,1009,RED
23,23,00,023,GREEN
23,23,01,053,GREEN
23,23,02,083,GREEN
23,23,03,113,GREEN
23,23,05,173,GREEN
23,23,07,233,GREEN
23,23,08,263,GREEN
23,23,09,293,GREEN
23,23,11,353,GREEN
23,23,12,383,GREEN
23,23,14,443,GREEN
23,23,16,503,GREEN
23,23,18,563,GREEN
23,23,19,593,GREEN
23,23,21,653,GREEN
23,23,22,683,GREEN
23,23,24,743,GREEN
23,23,25,773,GREEN
23,23,28,863,GREEN
23,23,31,953,GREEN
23,23,32,983,GREEN
23,23,33,1013,GREEN
29,29,00,029,BLUE
29,29,01,059,BLUE
29,29,02,089,BLUE
29,29,04,149,BLUE
29,29,05,179,BLUE
29,29,07,239,BLUE
29,29,08,269,BLUE
29,29,11,359,BLUE
29,29,12,389,BLUE
29,29,13,419,BLUE
29,29,14,449,BLUE
29,29,15,479,BLUE
29,29,16,509,BLUE
29,29,18,569,BLUE
29,29,19,599,BLUE
29,29,21,659,BLUE
29,29,23,719,BLUE
29,29,26,809,BLUE
29,29,27,839,BLUE
29,29,30,929,BLUE
29,29,33,1019,BLUE
