#x,y,z,prime,color
x,y,z,prime,pcolor
01,01,10607,318211,BLUE
01,01,10609,318271,BLUE
01,01,10610,318301,BLUE
01,01,10620,318601,BLUE
01,01,10623,318691,BLUE
01,01,10625,318751,BLUE
01,01,10626,318781,BLUE
01,01,10627,318811,BLUE
01,01,10628,318841,BLUE
01,01,1063,31891,BLUE
01,01,10640,319201,BLUE
01,01,10644,319321,BLUE
01,01,10645,319351,BLUE
01,01,10647,319411,BLUE
01,01,10648,319441,BLUE
01,01,10653,319591,BLUE
01,01,10656,319681,BLUE
01,01,1066,31981,BLUE
01,01,10661,319831,BLUE
01,01,10666,319981,BLUE
01,01,10667,320011,BLUE
01,01,10668,320041,BLUE
01,01,10670,320101,BLUE
01,01,10680,320401,BLUE
01,01,10681,320431,BLUE
01,01,10684,320521,BLUE
01,01,10687,320611,BLUE
01,01,10693,320791,BLUE
01,01,10694,320821,BLUE
01,01,10695,320851,BLUE
01,01,10697,320911,BLUE
01,01,10698,320941,BLUE
01,01,10701,321031,BLUE
01,01,10703,321091,BLUE
01,01,10710,321301,BLUE
01,01,10711,321331,BLUE
01,01,10719,321571,BLUE
01,01,10721,321631,BLUE
01,01,10722,321661,BLUE
01,01,10724,321721,BLUE
01,01,10725,321751,BLUE
01,01,1073,32191,BLUE
01,01,10730,321901,BLUE
01,01,10732,321961,BLUE
01,01,10733,321991,BLUE
01,01,10735,322051,BLUE
01,01,10737,322111,BLUE
01,01,10739,322171,BLUE
01,01,10742,322261,BLUE
01,01,10745,322351,BLUE
01,01,1075,32251,BLUE
01,01,10750,322501,BLUE
01,01,10753,322591,BLUE
01,01,10759,322771,BLUE
01,01,10763,322891,BLUE
01,01,10764,322921,BLUE
01,01,10765,322951,BLUE
01,01,10770,323101,BLUE
01,01,10771,323131,BLUE
01,01,10775,323251,BLUE
01,01,10778,323341,BLUE
01,01,10779,323371,BLUE
01,01,1078,32341,BLUE
01,01,10786,323581,BLUE
01,01,10788,323641,BLUE
01,01,1079,32371,BLUE
01,01,1080,32401,BLUE
01,01,10801,324031,BLUE
01,01,10805,324151,BLUE
01,01,10807,324211,BLUE
01,01,10810,324301,BLUE
01,01,10812,324361,BLUE
01,01,10813,324391,BLUE
01,01,10815,324451,BLUE
01,01,10822,324661,BLUE
01,01,10826,324781,BLUE
01,01,10827,324811,BLUE
01,01,10829,324871,BLUE
01,01,1083,32491,BLUE
01,01,10830,324901,BLUE
01,01,10831,324931,BLUE
01,01,10833,324991,BLUE
01,01,10834,325021,BLUE
01,01,10835,325051,BLUE
01,01,10836,325081,BLUE
01,01,10840,325201,BLUE
01,01,10841,325231,BLUE
01,01,10847,325411,BLUE
01,01,10856,325681,BLUE
01,01,10862,325861,BLUE
01,01,10863,325891,BLUE
01,01,10864,325921,BLUE
01,01,10865,325951,BLUE
01,01,1087,32611,BLUE
01,01,10870,326101,BLUE
01,01,10875,326251,BLUE
01,01,10886,326581,BLUE
01,01,10887,326611,BLUE
01,01,10890,326701,BLUE
01,01,10896,326881,BLUE
01,01,10898,326941,BLUE
01,01,109,3271,BLUE
01,01,10900,327001,BLUE
01,01,10907,327211,BLUE
01,01,10911,327331,BLUE
01,01,10914,327421,BLUE
01,01,10917,327511,BLUE
01,01,10919,327571,BLUE
01,01,10922,327661,BLUE
01,01,10924,327721,BLUE
01,01,10929,327871,BLUE
01,01,10935,328051,BLUE
01,01,10939,328171,BLUE
01,01,10943,328291,BLUE
01,01,10946,328381,BLUE
01,01,10947,328411,BLUE
01,01,10953,328591,BLUE
01,01,10954,328621,BLUE
01,01,10955,328651,BLUE
01,01,10963,328891,BLUE
01,01,10964,328921,BLUE
01,01,10966,328981,BLUE
01,01,1097,32911,BLUE
01,01,10970,329101,BLUE
01,01,10973,329191,BLUE
01,01,10976,329281,BLUE
01,01,1098,32941,BLUE
01,01,10980,329401,BLUE
01,01,10981,329431,BLUE
01,01,10985,329551,BLUE
01,01,10989,329671,BLUE
01,01,1099,32971,BLUE
01,01,10992,329761,BLUE
01,01,10998,329941,BLUE
01,01,11,331,BLUE
01,01,110,3301,BLUE
01,01,11002,330061,BLUE
01,01,11008,330241,BLUE
01,01,11009,330271,BLUE
01,01,11011,330331,BLUE
01,01,11022,330661,BLUE
01,01,11024,330721,BLUE
01,01,1103,33091,BLUE
01,01,11036,331081,BLUE
01,01,11038,331141,BLUE
01,01,11039,331171,BLUE
01,01,11041,331231,BLUE
01,01,1105,33151,BLUE
01,01,11050,331501,BLUE
01,01,11055,331651,BLUE
01,01,11057,331711,BLUE
01,01,1106,33181,BLUE
01,01,11060,331801,BLUE
01,01,11064,331921,BLUE
01,01,11067,332011,BLUE
01,01,1107,33211,BLUE
01,01,11072,332161,BLUE
01,01,11073,332191,BLUE
01,01,11074,332221,BLUE
01,01,11075,332251,BLUE
01,01,11082,332461,BLUE
01,01,11087,332611,BLUE
01,01,11088,332641,BLUE
01,01,11093,332791,BLUE
01,01,11095,332851,BLUE
01,01,11096,332881,BLUE
01,01,111,3331,BLUE
01,01,1110,33301,BLUE
01,01,11101,333031,BLUE
01,01,11109,333271,BLUE
01,01,1111,33331,BLUE
01,01,11111,333331,BLUE
