## command to plot
##  splot "snapin01_a.txt" with points pointtype 7 pointsize 1 palette , "snapin01_b.txt" with
##  lines palette , "snapin01_c.txt" with lines palette , "snapin01_d.txt" with lines lw 3 palette
##
##   all not prime = color 1
##
#z      #x      #y     #c
1       40      40      1
1       42      42      1
1       44      44      1
1       45      45      1
1       46      46      1
1       48      48      1
1       50      50      1
1       51      51      1
1       52      52      1
1       54      54      1
1       55      55      1
1       56      56      1
1       57      57      1
1       58      58      1
#z      #x      #y      #c
29      32      58      1
29      33      57      1
29      34      56      1
29      35      55      1
29      36      54      1
29      38      52      1
29      39      51      1
29      40      50      1
29      42      48      1
29      44      46      1
29      45      45      1
29      46      44      1
29      48      42      1
29      49      41      1
29      50      40      1
29      51      39      1
29      52      38      1
29      54      36      1
29      55      35      1
29      56      34      1
29      57      33      1
29      59      31      1
#z      #x      #y      #c
7       32      44      1
7       33      51      1
7       34      58      1
7       35      35      1
7       36      42      1
7       38      56      1
7       39      33      1
7       40      40      1
7       42      54      1
7       44      38      1
7       45      45      1
7       46      52      1
7       48      36      1
7       50      50      1
7       51      57      1
7       52      34      1
7       54      48      1
7       55      55      1
7       56      32      1
7       57      39      1
7       58      46      1
#z      #x      #y      #c
23      32      46      1
23      33      39      1
23      34      32      1
23      35      55      1
23      36      48      1
23      38      34      1
23      39      57      1
23      40      50      1
23      42      36      1
23      44      52      1
23      45      45      1
23      46      38      1
23      48      54      1
23      50      40      1
23      51      33      1
23      52      56      1
23      54      42      1
23      55      35      1
23      56      58      1
23      57      51      1
23      58      44      1
#z      #x      #y      #c
13      32      56      1
13      33      39      1
13      34      52      1
13      35      35      1
13      36      48      1
13      38      44      1
13      39      57      1
13      40      40      1
13      42      36      1
13      44      32      1
13      45      45      1
13      46      58      1
13      48      54      1
13      50      50      1
13      51      33      1
13      52      46      1
13      54      42      1
13      55      55      1
13      56      38      1
13      57      51      1
13      58      34      1
#z      #x      #y      #c
17      32      34      1
17      33      51      1
17      34      38      1
17      35      55      1
17      36      42      1
17      38      46      1
17      39      33      1
17      40      50      1
17      42      54      1
17      44      58      1
17      45      45      1
17      46      32      1
17      48      36      1
17      50      40      1
17      51      57      1
17      52      44      1
17      54      48      1
17      55      35      1
17      56      52      1
17      57      39      1
17      58      56      1
#z      #x      #y      #c
11      32      52      1
11      33      33      1
11      34      44      1
11      35      55      1
11      36      36      1
11      38      58      1
11      39      39      1
11      40      50      1
11      42      42      1
11      44      34      1
11      45      45      1
11      46      56      1
11      48      48      1
11      49      59      1
11      50      40      1
11      51      51      1
11      52      32      1
11      54      54      1
11      55      35      1
11      56      46      1
11      57      57      1
11      58      38      1
#z      #x      #y      #c
19      32      38      1
19      33      57      1
19      34      46      1
19      35      35      1
19      36      54      1
19      38      32      1
19      39      51      1
19      40      40      1
19      42      48      1
19      44      56      1
19      45      45      1
19      46      34      1
19      48      42      1
19      50      50      1
19      51      39      1
19      52      58      1
19      54      36      1
19      55      55      1
19      56      44      1
19      57      33      1
19      58      52      1

#z      #x      #y      #c
1       62      62      1
1       63      63      1
1       64      64      1
1       65      65      1
1       66      66      1
1       68      68      1
1       69      69      1
1       70      70      1
1       72      72      1
1       74      74      1
1       75      75      1
1       76      76      1
1       78      78      1
1       80      80      1
1       81      81      1
1       82      82      1
1       84      84      1
1       85      85      1
1       86      86      1
1       87      87      1
1       88      88      1
#z      #x      #y      #c
29      62      88      1
29      63      87      1
29      64      86      1
29      65      85      1
29      66      84      1
29      68      82      1
29      69      81      1
29      70      80      1
29      72      78      1
29      74      76      1
29      75      75      1
29      76      74      1
29      78      72      1
29      79      71      1
29      80      70      1
29      81      69      1
29      82      68      1
29      84      66      1
29      85      65      1
29      86      64      1
29      87      63      1
29      89      61      1
#z      #x      #y      #c
7       62      74      1
7       63      81      1
7       64      88      1
7       65      65      1
7       66      72      1
7       68      86      1
7       69      63      1
7       70      70      1
7       72      84      1
7       74      68      1
7       75      75      1
7       76      82      1
7       78      66      1
7       80      80      1
7       81      87      1
7       82      64      1
7       84      78      1
7       85      85      1
7       86      62      1
7       87      69      1
7       88      76      1
#z      #x      #y      #c
23      62      76      1
23      63      69      1
23      64      62      1
23      65      85      1
23      66      78      1
23      68      64      1
23      69      87      1
23      70      80      1
23      72      66      1
23      74      82      1
23      75      75      1
23      76      68      1
23      78      84      1
23      80      70      1
23      81      63      1
23      82      86      1
23      84      72      1
23      85      65      1
23      86      88      1
23      87      81      1
23      88      74      1
#z      #x      #y      #c
13      62      86      1
13      63      69      1
13      64      82      1
13      65      65      1
13      66      78      1
13      68      74      1
13      69      87      1
13      70      70      1
13      72      66      1
13      74      62      1
13      75      75      1
13      76      88      1
13      78      84      1
13      80      80      1
13      81      63      1
13      82      76      1
13      84      72      1
13      85      85      1
13      86      68      1
13      87      81      1
13      88      64      1
#z      #x      #y      #c
17      62      64      1
17      63      81      1
17      64      68      1
17      65      85      1
17      66      72      1
17      68      76      1
17      69      63      1
17      70      80      1
17      72      84      1
17      74      88      1
17      75      75      1
17      76      62      1
17      78      66      1
17      80      70      1
17      81      87      1
17      82      74      1
17      84      78      1
17      85      65      1
17      86      82      1
17      87      69      1
17      88      86      1
#z      #x      #y      #c
11      62      82      1
11      63      63      1
11      64      74      1
11      65      85      1
11      66      66      1
11      68      88      1
11      69      69      1
11      70      80      1
11      72      72      1
11      74      64      1
11      75      75      1
11      76      86      1
11      78      78      1
11      79      89      1
11      80      70      1
11      81      81      1
11      82      62      1
11      84      84      1
11      85      65      1
11      86      76      1
11      87      87      1
11      88      68      1
#z      #x      #y      #c
19      62      68      1
19      63      87      1
19      64      76      1
19      65      65      1
19      66      84      1
19      68      62      1
19      69      81      1
19      70      70      1
19      72      78      1
19      74      86      1
19      75      75      1
19      76      64      1
19      78      72      1
19      80      80      1
19      81      69      1
19      82      88      1
19      84      66      1
19      85      85      1
19      86      74      1
19      87      63      1
19      88      82      1

